,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,13822.02,13848.55,13440.66,13633.38,23607504,15614512896.0,11473229,BK0451,房地产开发,13761.36,66,38,14,1512476608000.0,4226250576.0,4914092544.0,-687841968.0,1008887920.0,1375873680.0,-366985760.0,3217362656.0,3538218864.0,-320856208.0,5116628224.0,5153856768.0,-37228544.0,5789436672.0,5064366080.0,725070592.0,12134275,1.0,60.66,0.44,2.96
2022-03-14,13535.15,13913.17,13534.76,13742.36,25168674,16515337216.0,11400193,BK0451,房地产开发,13822.01,7,109,2,1481942976000.0,4569982320.0,5439469344.0,-869487024.0,1182169504.0,1473306336.0,-291136832.0,3387812816.0,3966163008.0,-578350192.0,5355325952.0,5192041728.0,163284224.0,6203794176.0,5497591296.0,706202880.0,13768481,1.06,-286.86,-2.08,2.74
2022-03-15,12758.24,13466.68,12757.74,13466.68,33651177,21340458240.0,13447679,BK0451,房地产开发,13535.14,3,115,0,1373166336000.0,6203559552.0,8161952256.0,-1958392704.0,2019542368.0,2945558784.0,-926016416.0,4184017184.0,5216393472.0,-1032376288.0,6746906368.0,6488110848.0,258795520.0,8023466496.0,6323869440.0,1699597056.0,20203499,1.42,-776.9,-5.74,5.24
2022-03-16,13190.42,13223.57,12601.14,12895.02,33353767,21365016064.0,17290348,BK0451,房地产开发,12758.24,111,5,2,1415120128000.0,6953195008.0,6418270448.0,534924560.0,2238171392.0,1536986352.0,701185040.0,4715023616.0,4881284096.0,-166260480.0,6745045248.0,7256024064.0,-510978816.0,7312316928.0,7336262656.0,-23945728.0,16063419,1.41,432.18,3.39,4.88
2022-03-17,13669.03,13856.91,13542.24,13542.24,40316437,24181639936.0,20549273,BK0451,房地产开发,13190.42,108,10,0,1467892128000.0,8763954176.0,7745376320.0,1018577856.0,3421265920.0,2206614848.0,1214651072.0,5342688256.0,5538761472.0,-196073216.0,7147047424.0,7916120320.0,-769072896.0,7517163264.0,7766668032.0,-249504768.0,19767165,1.7,478.61,3.63,2.39
2022-03-18,14112.79,14112.79,13573.4,13595.98,46627474,25387568896.0,26217162,BK0451,房地产开发,13669.03,112,3,3,1537275792000.0,8996460320.0,7880257168.0,1116203152.0,3580470048.0,2363051408.0,1217418640.0,5415990272.0,5517205760.0,-101215488.0,7129857280.0,7995017472.0,-865160192.0,8082796288.0,8333839104.0,-251042816.0,20410312,1.97,443.76,3.25,3.95
2022-03-21,14431.5,14448.31,14129.85,14159.05,50809408,25300916224.0,25027927,BK0451,房地产开发,14112.79,84,23,11,1535410080000.0,8392763920.0,8124233952.0,268529968.0,2822709264.0,2481608416.0,341100848.0,5570054656.0,5642625536.0,-72570880.0,7707617024.0,7929676032.0,-222059008.0,8427606016.0,8474076928.0,-46470912.0,25781481,2.15,318.71,2.26,2.26
2022-03-22,14851.57,14959.75,14306.43,14394.37,74374986,39318548480.0,40222530,BK0451,房地产开发,14431.5,101,11,6,1590141760000.0,14989627136.0,13948691200.0,1040935936.0,5761191680.0,4595045120.0,1166146560.0,9228435456.0,9353646080.0,-125210624.0,11786223616.0,12409555712.0,-623332096.0,11833548288.0,12251151872.0,-417603584.0,34152456,3.14,420.07,2.91,4.53
2022-03-23,15151.48,15323.87,14724.08,14799.48,84377664,43263691520.0,41354513,BK0451,房地产开发,14851.57,94,21,3,1625151376000.0,16119662592.0,15405089024.0,714573568.0,6048576768.0,5188087808.0,860488960.0,10071085824.0,10217001216.0,-145915392.0,13122198272.0,13711629312.0,-589431040.0,12928376320.0,13053518592.0,-125142272.0,43023151,3.56,299.91,2.02,4.04
2022-03-24,14976.11,15277.05,14940.33,15018.71,70830241,33814214912.0,32399287,BK0451,房地产开发,15151.48,20,93,5,1602626736000.0,10980804784.0,12863644928.0,-1882840144.0,4121871792.0,5139543808.0,-1017672016.0,6858932992.0,7724101120.0,-865168128.0,10191272960.0,9905924864.0,285348096.0,11545719296.0,9948227328.0,1597491968.0,38430955,2.99,-175.37,-1.16,2.22
2022-03-25,15183.15,15341.86,14791.59,14972.59,77879073,36918431232.0,39255436,BK0451,房地产开发,14976.11,75,32,11,1606212624000.0,12895986432.0,12785623296.0,110363136.0,4907887360.0,4361762560.0,546124800.0,7988099072.0,8423860736.0,-435761664.0,11080821248.0,11486085376.0,-405264128.0,11896696576.0,11601795328.0,294901248.0,38623637,3.29,207.04,1.38,3.67
2022-03-28,15542.82,15672.08,15065.66,15085.47,81141125,39355189760.0,42422523,BK0451,房地产开发,15183.15,95,22,1,1640666288000.0,14557047552.0,13182358688.0,1374688864.0,5823960064.0,4259245472.0,1564714592.0,8733087488.0,8923113216.0,-190025728.0,11834429184.0,12551432192.0,-717003008.0,11961060608.0,12618746368.0,-657685760.0,38718602,3.42,359.67,2.37,3.99
2022-03-29,15313.68,15542.27,15237.37,15477.23,77778755,37432365312.0,35862394,BK0451,房地产开发,15542.82,17,96,5,1612780624000.0,11781825904.0,13729373952.0,-1947548048.0,4011129200.0,5001640704.0,-990511504.0,7770696704.0,8727733248.0,-957036544.0,11332425728.0,11490106368.0,-157680640.0,13205061888.0,11099832832.0,2105229056.0,41916361,3.28,-229.14,-1.47,1.96
