,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,23827.72,23850.43,23105.87,23456.83,11196662,24990441984.0,5507151,BK0538,化学制品,23684.96,83,43,8,1071467440000.0,8061887632.0,8466627392.0,-404739760.0,2401508496.0,2810175296.0,-408666800.0,5660379136.0,5656452096.0,3927040.0,8144559104.0,8400128256.0,-255569152.0,8247150592.0,7586841600.0,660308992.0,5689511,1.95,142.76,0.6,3.14
2022-03-14,23239.32,23750.4,23239.32,23750.4,10893976,21263737600.0,4504314,BK0538,化学制品,23827.72,9,122,3,1045813664000.0,6016563424.0,6724080432.0,-707517008.0,1940513680.0,2064716592.0,-124202912.0,4076049744.0,4659363840.0,-583314096.0,7042829824.0,6842164736.0,200665088.0,7677010944.0,7170159104.0,506851840.0,6389662,1.89,-588.4,-2.47,2.14
2022-03-15,22152.06,23182.69,22152.06,23154.63,13093184,26018090496.0,5748768,BK0538,化学制品,23239.32,11,121,2,1007809472000.0,7667327296.0,8346907456.0,-679580160.0,2183611456.0,2487182400.0,-303570944.0,5483715840.0,5859725056.0,-376009216.0,8888780032.0,8648860416.0,239919616.0,8962532608.0,8522872320.0,439660288.0,7344416,2.28,-1087.26,-4.68,4.43
2022-03-16,22801.42,22853.45,21755.3,22458.57,15647823,31753089024.0,8080759,BK0538,化学制品,22152.06,125,7,2,1047148736000.0,11419819328.0,10877409104.0,542410224.0,4033063744.0,3557633360.0,475430384.0,7386755584.0,7319775744.0,66979840.0,10287840768.0,10753779456.0,-465938688.0,9517370880.0,9593842688.0,-76471808.0,7567064,2.72,649.36,2.93,4.96
2022-03-17,23156.22,23510.59,22983.01,23011.84,15839173,33611710208.0,7459261,BK0538,化学制品,22801.42,101,28,5,1059724336000.0,11752280704.0,12356983552.0,-604702848.0,3750367360.0,4423700480.0,-673333120.0,8001913344.0,7933283072.0,68630272.0,11125389568.0,11313524992.0,-188135424.0,10023766016.0,9230928128.0,792837888.0,8379912,2.75,354.8,1.56,2.31
2022-03-18,23515.04,23555.91,23096.39,23154.21,13121268,22489702656.0,6501746,BK0538,化学制品,23156.22,95,32,7,1065712880000.0,6349395008.0,7384629936.0,-1035234928.0,1777630784.0,2390473136.0,-612842352.0,4571764224.0,4994156800.0,-422392576.0,7496301312.0,7282086400.0,214214912.0,7673646848.0,6852626688.0,821020160.0,6619522,2.28,358.82,1.55,1.98
2022-03-21,23794.62,23843.07,23522.01,23579.43,15883393,26192872448.0,7641982,BK0538,化学制品,23515.04,94,35,6,1074109808000.0,8666449552.0,8575470192.0,90979360.0,2995246736.0,2648154736.0,347092000.0,5671202816.0,5927315456.0,-256112640.0,8748941056.0,8719762688.0,29178368.0,8219856384.0,8340014080.0,-120157696.0,8241410,2.76,279.58,1.19,1.37
2022-03-22,23665.01,23833.1,23539.02,23778.2,13468164,23316382208.0,6234359,BK0538,化学制品,23794.62,49,79,7,1043144608000.0,6655774368.0,7975137344.0,-1319362976.0,1814200992.0,2725391680.0,-911190688.0,4841573376.0,5249745664.0,-408172288.0,7932666880.0,7510939136.0,421727744.0,8183912448.0,7286277120.0,897635328.0,7233805,2.34,-129.61,-0.54,1.24
2022-03-23,23674.4,23818.8,23607.5,23743.21,11865872,21826951680.0,5400901,BK0538,化学制品,23665.01,59,67,9,1184620400000.0,6119849104.0,7325620112.0,-1205771008.0,1562253968.0,2463784080.0,-901530112.0,4557595136.0,4861836032.0,-304240896.0,7310368000.0,7101846272.0,208521728.0,7810546944.0,6813297408.0,997249536.0,6464971,2.06,9.39,0.04,0.89
2022-03-24,23690.02,23810.86,23402.14,23610.92,13229881,23517385472.0,6230106,BK0538,化学制品,23674.4,47,81,7,1185715168000.0,7977677808.0,7816105600.0,161572208.0,3165770736.0,2383885440.0,781885296.0,4811907072.0,5432220160.0,-620313088.0,7592676608.0,7846228736.0,-253552128.0,7513444864.0,7421465344.0,91979520.0,6999776,2.24,15.62,0.07,1.73
