,最新,最高,最低,今开,总手,金额,外盘,量比,涨停,跌停,代码,名称,昨收,均价,总值,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,动态市盈率,静态市盈率,滚动市盈率,市净,换手,涨跌,涨幅,净资产收益率,总营收
2022-03-12,33.37,34.0,32.3,34.0,42091,139405584.0,16574,0.92,41.51,27.67,301091,深城交,34.59,33.12,5339200000.0,1123463785.6,29046039.0,34101659.0,-5055620.0,9135576.0,6017114.0,3118462.0,19910463.0,28084545.0,-8174082.0,50401063.0,60431385.0,-10030322.0,56511872.0,41425929.0,15085943.0,58.01,35.82,31.01,2.87,12.5,-1.22,-3.53,15.66,766421699.34
2022-03-14,31.77,33.35,31.74,32.83,26825,87433268.0,11478,0.63,40.04,26.7,301091,深城交,33.37,32.59,5083200000.0,1069596777.6,14390996.0,24802151.0,-10411155.0,1501045.0,6045919.0,-4544874.0,12889951.0,18756232.0,-5866281.0,31516177.0,37111855.0,-5595678.0,39467166.0,23460333.0,16006833.0,55.23,34.1,29.52,2.73,7.97,-1.6,-4.79,15.66,766421699.34
2022-03-15,30.9,32.85,30.83,32.0,29841,95119347.0,13745,0.73,38.12,25.42,301091,深城交,31.77,31.88,4944000000.0,1040306592.0,13755700.0,17923367.0,-4167667.0,1125432.0,1711973.0,-586541.0,12630268.0,16211394.0,-3581126.0,38639070.0,43775197.0,-5136127.0,40929696.0,31625901.0,9303795.0,53.71,33.17,28.71,2.66,8.86,-0.87,-2.74,15.66,766421699.34
2022-03-16,32.27,32.31,30.32,31.17,38151,119979644.0,20823,0.98,37.08,24.72,301091,深城交,30.9,31.45,5163200000.000001,1086430217.6000001,29288534.0,22233591.0,7054943.0,3183396.0,1242970.0,1940426.0,26105138.0,20990621.0,5114517.0,46946137.0,47552062.0,-605925.0,40438248.0,46887266.0,-6449018.0,56.1,34.64,29.99,2.78,11.33,1.37,4.43,15.66,766421699.34
2022-03-17,32.48,33.49,32.27,32.7,41459,136099825.0,18494,1.1,38.72,25.82,301091,深城交,32.27,32.83,5196799999.999999,1093500262.3999999,32399902.0,35696024.0,-3296122.0,2755534.0,6592915.0,-3837381.0,29644368.0,29103109.0,541259.0,56256980.0,52517774.0,3739206.0,44444516.0,44887599.0,-443083.0,56.46,34.86,30.18,2.79,12.31,0.21,0.65,15.66,766421699.34
2022-03-18,33.07,33.99,32.0,32.0,42681,141966877.0,21657,1.2,38.98,25.98,301091,深城交,32.48,33.26,5291200000.0,1113363721.6,34083130.0,32776696.0,1306434.0,11260878.0,2195185.0,9065693.0,22822252.0,30581511.0,-7759259.0,55127794.0,57605621.0,-2477827.0,50493402.0,49322009.0,1171393.0,57.49,35.5,30.73,2.84,12.68,0.59,1.82,15.66,766421699.34
2022-03-21,33.63,33.98,32.8,33.0,43619,145652099.0,22765,1.22,39.68,26.46,301091,深城交,33.07,33.39,5380800000.0,1132217174.4,32847408.0,33756961.0,-909553.0,2203025.0,4275117.0,-2072092.0,30644383.0,29481844.0,1162539.0,56871542.0,58181370.0,-1309828.0,53493846.0,51274464.0,2219382.0,58.46,36.1,31.25,2.89,12.96,0.56,1.69,15.66,766421699.34
2022-03-22,33.69,34.72,33.3,34.14,48480,164926535.0,24363,1.24,40.36,26.9,301091,深城交,33.63,34.02,5390400000.0,1134237187.1999998,36765591.0,39008651.0,-2243060.0,2829882.0,5408203.0,-2578321.0,33935709.0,33600448.0,335261.0,69154173.0,63453307.0,5700866.0,53753121.0,57210928.0,-3457807.0,58.56,36.16,31.31,2.9,14.4,0.06,0.18,15.66,766421699.34
2022-03-23,33.87,34.95,32.98,33.53,51562,174707871.0,25759,1.2,40.43,26.95,301091,深城交,33.69,33.88,5419200000.0,1140297225.6,32404902.0,51368202.0,-18963300.0,6665840.0,7374951.0,-709111.0,25739062.0,43993251.0,-18254189.0,69184180.0,67006606.0,2177574.0,68129509.0,51343782.0,16785727.0,58.88,36.36,31.47,2.91,15.32,0.18,0.53,15.66,766421699.34
2022-03-24,32.75,33.78,32.65,33.66,31271,103800682.0,12800,0.69,40.64,27.1,301091,深城交,33.87,33.19,5240000000.0,1102590320.0,12152591.0,25975308.0,-13822717.0,-,5211309.0,-5211309.0,12152591.0,20763999.0,-8611408.0,36659812.0,40097488.0,-3437676.0,52399470.0,35139077.0,17260393.0,56.93,35.15,30.43,2.82,9.29,-1.12,-3.31,15.66,766421699.34
2022-03-25,32.03,33.15,31.92,32.76,25794,83787404.0,11922,0.59,39.3,26.2,301091,深城交,32.75,32.48,5124800000.0,1078350166.4,14475507.0,22347854.0,-7872347.0,3906317.0,5964104.0,-2057787.0,10569190.0,16383750.0,-5814560.0,25370960.0,32181852.0,-6810892.0,41442177.0,26758938.0,14683239.0,55.68,34.38,29.76,2.75,7.66,-0.72,-2.2,15.66,766421699.34
