,最新,最高,最低,今开,总手,金额,外盘,量比,涨停,跌停,代码,名称,昨收,均价,总值,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,动态市盈率,静态市盈率,滚动市盈率,市净,换手,涨跌,涨幅,净资产收益率,总营收
2022-03-12,24.96,25.1,23.2,23.81,585325,1415817664.0,304475,0.96,25.82,21.12,600521,华海药业,23.47,24.19,37234226714.880005,36307087514.880005,598944341.0,513525695.0,85418646.0,210364325.0,135594127.0,74770198.0,388580016.0,377931568.0,10648448.0,431690912.0,475701136.0,-44010224.0,360742304.0,402150736.0,-41408432.0,47.36,40.04,54.84,5.68,4.02,1.49,6.35,8.78,4597707821.05
2022-03-14,26.9,27.46,25.57,25.88,1243985,3351182848.0,509220,2.33,27.46,22.46,600521,华海药业,24.96,26.94,40128233118.2,39129032618.2,2268439600.0,2011585280.0,256854320.0,1396018400.0,1092534256.0,303484144.0,872421200.0,919051024.0,-46629824.0,652995136.0,812640656.0,-159645520.0,377345168.0,474553968.0,-97208800.0,51.04,43.16,59.11,6.12,8.55,1.94,7.77,8.78,4597707821.05
2022-03-15,25.15,26.77,24.93,25.88,932867,2401075216.0,427678,1.45,29.59,24.21,600521,华海药业,26.9,25.74,37517660331.7,36583463581.7,1169351040.0,1272634144.0,-103283104.0,399860944.0,544426992.0,-144566048.0,769490096.0,728207152.0,41282944.0,666083312.0,604891552.0,61191760.0,515206224.0,473114896.0,42091328.0,47.72,40.35,55.26,5.72,6.41,-1.75,-6.51,8.78,4597707821.05
2022-03-16,24.06,25.99,22.64,25.79,939544,2204013808.0,466734,1.28,27.67,22.64,600521,华海药业,25.15,23.46,35891646424.68,34997937724.68,1052996720.0,1142570384.0,-89573664.0,398380384.0,478554656.0,-80174272.0,654616336.0,664015728.0,-9399392.0,646990768.0,610757072.0,36233696.0,468288960.0,414948992.0,53339968.0,45.65,38.6,52.87,5.47,6.46,-1.09,-4.33,8.78,4597707821.05
2022-03-17,24.75,26.47,23.03,23.5,1705844,4339446528.0,716249,2.04,26.47,21.65,600521,华海药业,24.06,25.44,36920957980.5,36001619230.5,2719576000.0,2838232160.0,-118656160.0,1550978752.0,1483520224.0,67458528.0,1168597248.0,1354711936.0,-186114688.0,944523024.0,891385968.0,53137056.0,636330016.0,570810912.0,65519104.0,46.96,39.71,54.38,5.63,11.73,0.69,2.87,8.78,4597707821.05
2022-03-18,23.6,24.72,22.29,24.5,1426409,3378825888.0,615865,1.32,27.23,22.28,600521,华海药业,24.75,23.69,35205438720.8,34328816720.800003,1148466579.0,1762624608.0,-614158029.0,261791059.0,770887248.0,-509096189.0,886675520.0,991737360.0,-105061840.0,1069009312.0,792222416.0,276786896.0,878028640.0,540657488.0,337371152.0,44.78,37.86,51.86,5.37,9.81,-1.15,-4.65,8.78,4597707821.05
2022-03-21,25.1,25.85,22.71,23.0,1325742,3165583888.0,649430,1.06,25.96,21.24,600521,华海药业,23.6,23.88,37443072537.8,36510733037.8,1130164096.0,1234785456.0,-104621360.0,269002224.0,380784848.0,-111782624.0,861161872.0,854000608.0,7161264.0,1101487904.0,1057366608.0,44121296.0,863809904.0,803309856.0,60500048.0,47.63,40.27,55.15,5.71,9.11,1.5,6.36,8.78,4597707821.05
2022-03-22,22.85,24.4,22.82,24.4,977108,2293673440.0,370381,0.77,27.61,22.59,600521,华海药业,25.1,23.47,34086621812.300003,33237858562.300003,662350769.0,997384256.0,-335033487.0,135805233.0,335643888.0,-199838655.0,526545536.0,661740368.0,-135194832.0,810875872.0,704314112.0,106561760.0,762931872.0,534460128.0,228471744.0,43.36,36.66,50.21,5.2,6.72,-2.25,-8.96,8.78,4597707821.05
2022-03-23,22.45,23.18,22.05,22.26,533423,1206490640.0,241833,0.42,25.14,20.57,600521,华海药业,22.85,22.62,33489919461.1,32656014211.1,356850153.0,412945656.0,-56095503.0,60850665.0,80668728.0,-19818063.0,295999488.0,332276928.0,-36277440.0,445485520.0,427987344.0,17498176.0,377152576.0,338555248.0,38597328.0,42.6,36.02,49.33,5.11,3.67,-0.4,-1.75,8.78,4597707821.05
2022-03-24,22.84,23.24,22.03,22.11,632207,1435235600.0,322196,0.53,24.7,20.21,600521,华海药业,22.45,22.7,34071704253.52,33223312453.52,512741959.0,382009107.0,130732852.0,111534743.0,48024819.0,63509924.0,401207216.0,333984288.0,67222928.0,518542144.0,630195968.0,-111653824.0,382347920.0,401426944.0,-19079024.0,43.34,36.64,50.19,5.2,4.35,0.39,1.74,8.78,4597707821.05
2022-03-25,21.58,22.66,21.4,22.51,555523,1223710496.0,198682,0.57,25.12,20.56,600521,华海药业,22.84,22.03,32192091847.239998,31390502747.239998,346920973.0,547671392.0,-200750419.0,87334132.0,198926480.0,-111592348.0,259586841.0,348744912.0,-89158071.0,434673312.0,408497136.0,26176176.0,423772576.0,249198331.0,174574245.0,40.95,34.62,47.42,4.91,3.82,-1.26,-5.52,8.78,4597707821.05
2022-03-28,21.52,21.94,21.23,21.32,289220,625305120.0,138815,0.36,23.74,19.42,600521,华海药业,21.58,21.62,32102586494.559998,31303226094.559998,167911395.0,217463007.0,-49551612.0,24884009.0,40954464.0,-16070455.0,143027386.0,176508543.0,-33481157.0,236544451.0,225241270.0,11303181.0,207553764.0,169305333.0,38248431.0,40.83,34.53,47.29,4.9,1.99,-0.06,-0.28,8.78,4597707821.05
2022-03-29,21.82,22.08,21.4,21.45,310921,679556960.0,168437,0.52,23.67,19.37,600521,华海药业,21.52,21.86,32550113257.96,31739609357.96,223099302.0,183330669.0,39768633.0,38220529.0,27513342.0,10707187.0,184878773.0,155817327.0,29061446.0,245443832.0,270421008.0,-24977176.0,203139675.0,217931140.0,-14791465.0,41.4,35.01,47.95,4.96,2.14,0.3,1.39,8.78,4597707821.05
2022-03-30,21.85,22.2,21.07,21.64,380362,827001312.0,188718,0.82,24.0,19.64,600521,华海药业,21.82,21.74,32594865934.300003,31783247684.300003,234374346.0,282029337.0,-47654991.0,42631115.0,65663987.0,-23032872.0,191743231.0,216365350.0,-24622119.0,302495408.0,301670976.0,824432.0,276979536.0,230148971.0,46830565.0,41.46,35.06,48.01,4.97,2.61,0.03,0.14,8.78,4597707821.05
2022-03-31,21.01,21.95,20.91,21.77,440257,942454416.0,163023,1.02,24.04,19.67,600521,华海药业,21.85,21.41,31341790996.780003,30561374546.780003,241430664.0,408930801.0,-167500137.0,38303696.0,117726929.0,-79423233.0,203126968.0,291203872.0,-88076904.0,353399824.0,312215824.0,41184000.0,334200688.0,207884544.0,126316144.0,39.87,33.71,46.17,4.78,3.03,-0.84,-3.84,8.78,4597707821.05
2022-04-01,20.82,21.22,20.57,21.02,299108,622765808.0,137643,0.76,23.11,18.91,600521,华海药业,21.01,20.82,31058357379.96,30284998479.96,143581717.0,204596826.0,-61015109.0,19149195.0,35690011.0,-16540816.0,124432522.0,168906815.0,-44474293.0,236631625.0,226608345.0,10023280.0,228815442.0,177823613.0,50991829.0,39.51,33.4,45.75,4.74,2.06,-0.19,-0.9,8.78,4597707821.05
2022-04-06,20.65,21.27,20.59,20.98,235656,491648464.0,95291,0.69,22.9,18.74,600521,华海药业,20.82,20.86,30804763093.3,30037718843.3,104401036.0,165669715.0,-61268679.0,15783274.0,51976972.0,-36193698.0,88617762.0,113692743.0,-25074981.0,185238535.0,186371619.0,-1133084.0,195046448.0,132644685.0,62401763.0,39.18,33.13,45.37,4.7,1.62,-0.17,-0.82,8.78,4597707821.05
2022-04-07,19.72,20.72,19.72,20.52,336548,673855952.0,137537,1.01,22.72,18.59,600521,华海药业,20.65,20.02,29417429937.039997,28684930537.039997,134655142.0,226569968.0,-91914826.0,11172903.0,48139435.0,-36966532.0,123482239.0,178430533.0,-54948294.0,248103427.0,255435175.0,-7331748.0,282323264.0,183076688.0,99246576.0,37.42,31.64,43.33,4.49,2.31,-0.93,-4.5,8.78,4597707821.05
2022-04-08,18.79,19.85,18.65,19.74,411064,783357472.0,167934,1.21,21.69,17.75,600521,华海药业,19.72,19.06,28030096780.78,27332142230.78,151951003.0,269313410.0,-117362407.0,16475108.0,88861859.0,-72386751.0,135475895.0,180451551.0,-44975656.0,292648640.0,293840080.0,-1191440.0,329130192.0,210576336.0,118553856.0,35.65,30.15,41.29,4.27,2.83,-0.93,-4.72,8.78,4597707821.05
2022-04-11,17.98,18.73,17.93,18.64,308878,563375248.0,132765,0.9,20.67,16.91,600521,华海药业,18.79,18.24,26821774354.36,26153907254.36,113578984.0,152391811.0,-38812827.0,17392324.0,43321297.0,-25928973.0,96186660.0,109070514.0,-12883854.0,205305928.0,193383948.0,11921980.0,234011647.0,207120801.0,26890846.0,34.12,28.85,39.51,4.09,2.12,-0.81,-4.31,8.78,4597707821.05
2022-04-12,17.86,18.13,17.29,17.8,332087,586532224.0,151928,1.04,19.78,16.18,600521,华海药业,17.98,17.66,26642763624.52,25979353924.52,140604378.0,179938115.0,-39333737.0,24698763.0,51354802.0,-26656039.0,115905615.0,128583313.0,-12677698.0,204872934.0,217397514.0,-12524580.0,230125059.0,178266741.0,51858318.0,33.89,28.65,39.24,4.06,2.28,-0.12,-0.67,8.78,4597707821.05
2022-04-13,17.03,17.83,17.0,17.8,299515,518581376.0,124571,0.92,19.65,16.07,600521,华海药业,17.86,17.31,25404606076.460003,24772026726.460003,110982988.0,167064704.0,-56081716.0,13406119.0,37508992.0,-24102873.0,97576869.0,129555712.0,-31978843.0,200727949.0,207114194.0,-6386245.0,197207887.0,134739926.0,62467961.0,32.31,27.32,37.42,3.87,2.06,-0.83,-4.65,8.78,4597707821.05
2022-04-14,17.07,17.38,17.05,17.12,198268,341769904.0,91086,0.59,18.73,15.33,600521,华海药业,17.03,17.24,25464276319.74,24830211169.74,59581283.0,78706084.0,-19124801.0,1720372.0,13483686.0,-11763314.0,57860911.0,65222398.0,-7361487.0,130122270.0,143873056.0,-13750786.0,146491925.0,113616338.0,32875587.0,32.39,27.39,37.51,3.88,1.36,0.04,0.23,8.78,4597707821.05
2022-04-15,17.13,17.39,16.95,17.01,241341,414445744.0,97594,0.78,18.78,15.36,600521,华海药业,17.07,17.17,25553781684.66,24917487834.66,82584808.0,62346949.0,20237859.0,10507692.0,7897306.0,2610386.0,72077116.0,54449643.0,17627473.0,159448766.0,175986131.0,-16537365.0,164001314.0,167701808.0,-3700494.0,32.5,27.48,37.64,3.9,1.66,0.06,0.35,8.78,4597707821.05
2022-04-18,16.85,16.99,16.52,16.95,181843,305416416.0,86470,0.66,18.84,15.42,600521,华海药业,17.13,16.8,25136089981.7,24510196731.7,45720794.0,67031853.0,-21311059.0,2659114.0,4137541.0,-1478427.0,43061680.0,62894312.0,-19832632.0,113390932.0,121854052.0,-8463120.0,139892993.0,110118813.0,29774180.0,31.97,27.03,37.02,3.83,1.25,-0.28,-1.63,8.78,4597707821.05
2022-04-19,17.33,17.65,16.56,16.66,371108,642891360.0,188523,1.48,18.54,15.17,600521,华海药业,16.85,17.32,25852132901.059998,25208410051.059998,184661465.0,144662485.0,39998980.0,56864960.0,14819268.0,42045692.0,127796505.0,129843217.0,-2046712.0,202052006.0,243681217.0,-41629211.0,246464661.0,244834430.0,1630231.0,53.05,27.8,38.08,3.94,2.55,0.48,2.85,7.4,6643573143.13
2022-04-20,16.95,17.4,16.85,17.33,176960,303432816.0,63506,0.68,19.06,15.6,600521,华海药业,17.33,17.15,25285265589.899998,24655657839.899998,72509936.0,85831399.0,-13321463.0,12238588.0,22134392.0,-9895804.0,60271348.0,63697007.0,-3425659.0,106640981.0,101119694.0,5521287.0,118431447.0,110631272.0,7800175.0,51.89,27.19,37.24,3.86,1.22,-0.38,-2.19,7.4,6643573143.13
2022-04-21,16.12,17.36,16.0,17.36,266349,436583776.0,111466,1.14,18.65,15.26,600521,华海药业,16.95,16.39,24047108041.84,23448330641.84,79780048.0,111781302.0,-32001254.0,10662902.0,28140723.0,-17477821.0,69117146.0,83640579.0,-14523433.0,155135668.0,163171676.0,-8036008.0,194443693.0,154406431.0,40037262.0,49.35,25.86,35.42,3.67,1.83,-0.83,-4.9,7.4,6643573143.13
2022-04-22,15.53,15.99,15.4,15.91,275021,430791856.0,122675,1.11,17.73,14.51,600521,华海药业,16.12,15.66,23166971953.46,22590110103.46,74320009.0,132281408.0,-57961399.0,5023481.0,41349540.0,-36326059.0,69296528.0,90931868.0,-21635340.0,156832088.0,146183337.0,10648751.0,191419661.0,144107011.0,47312650.0,47.54,24.92,34.12,3.53,1.89,-0.59,-3.66,7.4,6643573143.13
2022-04-25,14.31,15.65,14.28,15.65,302381,448009664.0,145660,1.19,17.08,13.98,600521,华海药业,15.53,14.82,21347029533.420002,20815484583.420002,75476660.0,121720783.0,-46244123.0,8000505.0,18837623.0,-10837118.0,67476155.0,102883160.0,-35407005.0,159767352.0,166544745.0,-6777393.0,197899118.0,144877602.0,53021516.0,43.81,22.96,31.44,3.25,2.08,-1.22,-7.86,7.4,6643573143.13
2022-04-26,14.34,14.98,14.18,14.32,284711,414981072.0,154694,1.02,15.74,12.88,600521,华海药业,14.31,14.58,21391782215.88,20859122915.88,66613352.0,81373000.0,-14759648.0,1849549.0,6048236.0,-4198687.0,64763803.0,75324764.0,-10560961.0,158783484.0,161529489.0,-2746005.0,184808687.0,167303034.0,17505653.0,38.84,43.88,57.79,3.31,1.96,0.03,0.21,2.08,1772607601.98
2022-04-27,14.69,14.84,14.02,14.3,244668,353407392.0,131905,0.94,15.77,12.91,600521,华海药业,14.34,14.44,21913896844.579998,21368236794.579998,79290215.0,78712348.0,577867.0,16464168.0,16540367.0,-76199.0,62826047.0,62171981.0,654066.0,116577210.0,130743253.0,-14166043.0,150386858.0,136798682.0,13588176.0,39.79,44.95,59.2,3.39,1.68,0.35,2.44,2.08,1772607601.98
2022-04-28,14.6,14.94,14.34,14.8,212114,309862912.0,84588,0.77,16.16,13.22,600521,华海药业,14.69,14.61,21779638797.2,21237321797.2,67121512.0,83005102.0,-15883590.0,8417753.0,18521259.0,-10103506.0,58703759.0,64483843.0,-5780084.0,113322495.0,102333834.0,10988661.0,125190748.0,120295820.0,4894928.0,39.54,44.67,58.84,3.37,1.46,-0.09,-0.61,2.08,1772607601.98
2022-04-29,15.17,15.2,14.62,14.63,226646,339077216.0,123152,0.86,16.06,13.14,600521,华海药业,14.6,14.96,22629939763.94,22066450113.94,90698965.0,66312542.0,24386423.0,29377142.0,12621880.0,16755262.0,61321823.0,53690662.0,7631161.0,114760921.0,122588296.0,-7827375.0,128935646.0,145494693.0,-16559047.0,41.09,46.42,61.14,3.5,1.56,0.57,3.9,2.08,1772607601.98
2022-05-02,15.17,15.2,14.62,14.63,226646,339077216.0,123152,0.86,16.06,13.14,600521,华海药业,14.6,14.96,22629939763.94,22066450113.94,90698965.0,66312542.0,24386423.0,29377142.0,12621880.0,16755262.0,61321823.0,53690662.0,7631161.0,114760921.0,122588296.0,-7827375.0,128935646.0,145494693.0,-16559047.0,41.09,46.42,61.14,3.5,1.56,0.57,3.9,2.08,1772607601.98
2022-05-03,15.17,15.2,14.62,14.63,226646,339077216.0,123152,0.86,16.06,13.14,600521,华海药业,14.6,14.96,22629939763.94,22066450113.94,90698965.0,66312542.0,24386423.0,29377142.0,12621880.0,16755262.0,61321823.0,53690662.0,7631161.0,114760921.0,122588296.0,-7827375.0,128935646.0,145494693.0,-16559047.0,41.09,46.42,61.14,3.5,1.56,0.57,3.9,2.08,1772607601.98
2022-05-04,15.17,15.2,14.62,14.63,226646,339077216.0,123152,0.86,16.06,13.14,600521,华海药业,14.6,14.96,22629939763.94,22066450113.94,90698965.0,66312542.0,24386423.0,29377142.0,12621880.0,16755262.0,61321823.0,53690662.0,7631161.0,114760921.0,122588296.0,-7827375.0,128935646.0,145494693.0,-16559047.0,41.09,46.42,61.14,3.5,1.56,0.57,3.9,2.08,1772607601.98
2022-05-09,17.3,17.52,15.82,15.95,425639,717085008.0,249303,1.74,17.53,14.35,600521,华海药业,15.94,16.85,25807380218.600002,25164771718.600002,270481177.0,171837118.0,98644059.0,80344787.0,21833906.0,58510881.0,190136390.0,150003212.0,40133178.0,230053353.0,266242446.0,-36189093.0,204325065.0,266780030.0,-62454965.0,46.85,52.93,69.72,4.0,2.93,1.36,8.53,2.08,1772607601.98
