,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,13870.32,13882.42,13129.38,13280.43,22929840,21613805056.0,13068134,BK0433,农牧饲渔,13398.09,70,7,0,928336928000.0,6533584272.0,5886102656.0,647481616.0,1911605136.0,1300138624.0,611466512.0,4621979136.0,4585964032.0,36015104.0,7393297408.0,7484465408.0,-91168000.0,7361022976.0,7917336832.0,-556313856.0,9861706,3.45,472.23,3.52,5.62
2022-03-14,13465.04,13975.56,13459.91,13786.38,19141809,19064983040.0,8308174,BK0433,农牧饲渔,13870.32,8,69,0,888284512000.0,4487589088.0,5847568928.0,-1359979840.0,860675264.0,1557784848.0,-697109584.0,3626913824.0,4289784080.0,-662870256.0,6463934720.0,6261131264.0,202803456.0,7689972224.0,6532795904.0,1157176320.0,10833635,2.88,-405.28,-2.92,3.72
2022-03-15,12769.98,13507.3,12769.98,13378.28,20151751,18927827456.0,8377013,BK0433,农牧饲渔,13465.04,4,73,0,840848560000.0,4459488128.0,5777514400.0,-1318026272.0,933689344.0,1752455040.0,-818765696.0,3525798784.0,4025059360.0,-499260576.0,6291790080.0,6222736384.0,69053696.0,7829841664.0,6580869120.0,1248972544.0,11774738,3.03,-695.06,-5.16,5.48
2022-03-16,13002.66,13038.57,12398.75,12909.63,18349283,16879803392.0,8972576,BK0433,农牧饲渔,12769.98,67,10,0,854472192000.0,4268348272.0,4795080928.0,-526732656.0,880359904.0,1213571136.0,-333211232.0,3387988368.0,3581509792.0,-193521424.0,5693636352.0,5831213568.0,-137577216.0,6627171328.0,5962861568.0,664309760.0,9376708,2.76,232.68,1.82,5.01
2022-03-17,13275.2,13436.36,13012.0,13067.99,18276711,17625650688.0,9541345,BK0433,农牧饲渔,13002.66,66,10,1,881613200000.0,5031200112.0,5078357376.0,-47157264.0,1371483264.0,1183707712.0,187775552.0,3659716848.0,3894649664.0,-234932816.0,5890121216.0,5975172096.0,-85050880.0,6389832448.0,6257624064.0,132208384.0,8735366,2.75,272.54,2.1,3.26
2022-03-18,13604.34,13619.14,13187.54,13214.95,17409155,16479428096.0,9682791,BK0433,农牧饲渔,13275.2,72,4,1,905528976000.0,4982944768.0,4613073584.0,369871184.0,1304777040.0,1019309584.0,285467456.0,3678167728.0,3593764000.0,84403728.0,5184545536.0,5503899392.0,-319353856.0,5709249280.0,5759766528.0,-50517248.0,7726364,2.62,329.14,2.48,3.25
2022-03-21,14248.42,14300.27,13634.92,13637.61,26832020,25372379648.0,14971568,BK0433,农牧饲渔,13604.34,74,1,2,931995248000.0,8515526672.0,7317181936.0,1198344736.0,2819036688.0,1693550832.0,1125485856.0,5696489984.0,5623631104.0,72858880.0,8143989760.0,8686358016.0,-542368256.0,8359504896.0,9015481600.0,-655976704.0,11860453,4.03,644.08,4.73,4.89
2022-03-22,14285.8,14393.88,14137.77,14239.18,23370851,24873140480.0,11376027,BK0433,农牧饲渔,14248.42,35,41,1,941778576000.0,7234716800.0,8114618528.0,-879901728.0,1869120640.0,2176494240.0,-307373600.0,5365596160.0,5938124288.0,-572528128.0,8005536512.0,8182850560.0,-177314048.0,9042811904.0,7985595648.0,1057216256.0,11994824,3.51,37.38,0.26,1.8
2022-03-23,14223.32,14336.45,14201.91,14239.5,18198103,18667895296.0,8300614,BK0433,农牧饲渔,14285.8,30,47,0,938220320000.0,4846280352.0,5730383488.0,-884103136.0,1002889472.0,1265680000.0,-262790528.0,3843390880.0,4464703488.0,-621312608.0,6259201280.0,6178734080.0,80467200.0,7085050880.0,6281414912.0,803635968.0,9897489,2.74,-62.48,-0.44,0.94
2022-03-24,14191.76,14415.93,14163.57,14175.72,17546487,18008027392.0,8263058,BK0433,农牧饲渔,14223.32,26,49,2,933991200000.0,4769778480.0,4989536640.0,-219758160.0,1116733440.0,1137947744.0,-21214304.0,3653045040.0,3851588896.0,-198543856.0,6052621568.0,6166679552.0,-114057984.0,6870775296.0,6536958976.0,333816320.0,9283429,2.64,-31.56,-0.22,1.77
2022-03-25,14505.55,14729.94,14128.89,14177.74,26356003,26101664768.0,14634812,BK0433,农牧饲渔,14191.76,65,9,3,946590544000.0,8235485488.0,7461097712.0,774387776.0,2559638320.0,1726523120.0,833115200.0,5675847168.0,5734574592.0,-58727424.0,8652863232.0,8802942720.0,-150079488.0,8795088128.0,9419396352.0,-624308224.0,11721191,3.96,313.79,2.21,4.24
2022-03-28,14572.67,14784.37,14409.42,14680.04,27919303,26765624576.0,13101192,BK0433,农牧饲渔,14505.55,40,35,2,948745040000.0,7700273744.0,8223217456.0,-522943712.0,2309656400.0,2362485552.0,-52829152.0,5390617344.0,5860731904.0,-470114560.0,8924189696.0,8936828672.0,-12638976.0,9535488256.0,8999905792.0,535582464.0,14818111,4.2,67.12,0.46,2.58
2022-03-29,15048.18,15156.77,14454.58,14530.11,31112427,31333019392.0,16515632,BK0433,农牧饲渔,14572.67,65,10,2,976899568000.0,10461469120.0,9453686128.0,1007782992.0,3200891584.0,2354528112.0,846363472.0,7260577536.0,7099158016.0,161419520.0,10371363072.0,10429093632.0,-57730560.0,9902713088.0,10852765952.0,-950052864.0,14596795,4.68,475.51,3.26,4.82
2022-03-30,14871.89,14972.91,14697.47,14826.51,32554904,31699182080.0,15506244,BK0433,农牧饲渔,15048.18,25,50,2,974578096000.0,8770575264.0,10872771568.0,-2102196304.0,2138950560.0,3389382384.0,-1250431824.0,6631624704.0,7483389184.0,-851764480.0,10384764672.0,10070299904.0,314464768.0,11568559616.0,9780827904.0,1787731712.0,17048660,4.9,-176.29,-1.17,1.83
2022-03-31,14758.38,14976.98,14643.58,14786.95,26903069,26321535232.0,12784885,BK0433,农牧饲渔,14871.89,24,51,2,965164192000.0,7096020064.0,7947837536.0,-851817472.0,1668657248.0,1890000992.0,-221343744.0,5427362816.0,6057836544.0,-630473728.0,8768017664.0,9028978688.0,-260961024.0,9931601920.0,8818823168.0,1112778752.0,14118183,4.05,-113.51,-0.76,2.24
2022-04-01,14749.53,14988.1,14735.28,14844.37,26306839,26351212032.0,12363755,BK0433,农牧饲渔,14758.38,35,39,3,968474032000.0,7456000720.0,8081480032.0,-625479312.0,1926215888.0,2219886432.0,-293670544.0,5529784832.0,5861593600.0,-331808768.0,8757867008.0,8797235456.0,-39368448.0,9520505600.0,8855657984.0,664847616.0,13943084,3.96,-8.85,-0.06,1.71
2022-04-06,14985.93,15119.81,14642.89,14654.0,25786472,24857049088.0,13066620,BK0433,农牧饲渔,14749.53,58,18,1,967868096000.0,7067516640.0,6967796080.0,99720560.0,1852140512.0,1769890672.0,82249840.0,5215376128.0,5197905408.0,17470720.0,8194275328.0,8366295040.0,-172019712.0,8960755456.0,8888456448.0,72299008.0,12719852,3.88,236.4,1.6,3.23
2022-04-07,14509.8,14972.99,14490.72,14899.63,24535030,24446757120.0,10628557,BK0433,农牧饲渔,14985.93,9,67,1,937990160000.0,5926715024.0,7799704368.0,-1872989344.0,1230247056.0,2152266544.0,-922019488.0,4696467968.0,5647437824.0,-950969856.0,7954300928.0,8010983168.0,-56682240.0,10099681792.0,8170010368.0,1929671424.0,13906473,3.69,-476.13,-3.18,3.22
2022-04-08,14148.65,14490.47,14009.81,14490.47,20588439,19927230720.0,9380337,BK0433,农牧饲渔,14509.8,12,64,1,921733520000.0,4642848704.0,6026850704.0,-1384002000.0,894349008.0,1678168464.0,-783819456.0,3748499696.0,4348682240.0,-600182544.0,6490877696.0,6693651456.0,-202773760.0,8450791936.0,6864016128.0,1586775808.0,11208102,3.1,-361.15,-2.49,3.31
2022-04-11,14500.56,14754.37,14119.28,14124.77,31899227,31092061696.0,16640756,BK0433,农牧饲渔,14148.65,56,21,0,943905136000.0,10101594544.0,8434521136.0,1667073408.0,3048643248.0,1888606256.0,1160036992.0,7052951296.0,6545914880.0,507036416.0,10236449792.0,10619716096.0,-383266304.0,10322548480.0,11606355456.0,-1283806976.0,15258471,4.81,351.91,2.49,4.49
2022-04-12,14536.92,14539.47,14189.05,14337.76,26210498,24155610880.0,12366679,BK0433,农牧饲渔,14500.56,42,35,0,954481776000.0,5454295520.0,6802732304.0,-1348436784.0,1058684384.0,1829751824.0,-771067440.0,4395611136.0,4972980480.0,-577369344.0,8315588096.0,8149943808.0,165644288.0,9750075136.0,8567282688.0,1182792448.0,13843819,3.94,36.36,0.25,2.42
2022-04-13,14418.72,14732.04,14306.46,14479.12,27940367,26667076608.0,13546462,BK0433,农牧饲渔,14536.92,26,49,2,938909312000.0,7197593440.0,7360608000.0,-163014560.0,1766491488.0,1705560832.0,60930656.0,5431101952.0,5655047168.0,-223945216.0,9187951616.0,9040871936.0,147079680.0,9861848576.0,9845913600.0,15934976.0,14393905,4.2,-118.2,-0.81,2.93
2022-04-14,14560.34,14560.34,14066.12,14317.98,24273531,23249550336.0,12442855,BK0433,农牧饲渔,14418.72,54,21,2,952326128000.0,6019717280.0,6492672416.0,-472955136.0,1312903072.0,1782508192.0,-469605120.0,4706814208.0,4710164224.0,-3350016.0,7826763008.0,7633548288.0,193214720.0,8836774144.0,8557033984.0,279740160.0,11830676,3.65,141.62,0.98,3.43
2022-04-15,14278.96,14621.94,14240.94,14468.95,22939830,21734695424.0,10455708,BK0433,农牧饲渔,14560.34,17,60,0,938205568000.0,5280412288.0,5968559008.0,-688146720.0,993822352.0,1327692960.0,-333870608.0,4286589936.0,4640866048.0,-354276112.0,7556781312.0,7479401728.0,77379584.0,8549542144.0,7938775040.0,610767104.0,12484122,3.45,-281.38,-1.93,2.62
2022-04-18,14784.74,14804.19,14195.37,14198.68,24936414,24891975424.0,13077598,BK0433,农牧饲渔,14278.96,65,10,2,972044000000.0,7855433152.0,6999261120.0,856172032.0,2568136384.0,1691652544.0,876483840.0,5287296768.0,5307608576.0,-20311808.0,8001025536.0,8646163968.0,-645138432.0,8519508992.0,8730542848.0,-211033856.0,11858816,3.75,505.78,3.54,4.26
2022-04-19,15159.91,15329.1,14742.49,14871.42,36803805,40328432128.0,19554169,BK0433,农牧饲渔,14784.74,63,13,1,996559360000.0,13571924336.0,12928842912.0,643081424.0,4103942256.0,3410760352.0,693181904.0,9467982080.0,9518082560.0,-50100480.0,13342528000.0,13661270784.0,-318742784.0,12694940416.0,13019278848.0,-324338432.0,17249636,5.54,375.17,2.54,3.97
2022-04-20,15104.03,15448.91,14981.57,15014.22,36909311,39361813248.0,18161922,BK0433,农牧饲渔,15159.91,29,45,3,987018688000.0,11796409008.0,12446016432.0,-649607424.0,3344098736.0,3278029232.0,66069504.0,8452310272.0,9167987200.0,-715676928.0,12938200576.0,13295163904.0,-356963328.0,13742214656.0,12735644160.0,1006570496.0,18747388,5.55,-55.88,-0.37,3.08
2022-04-21,14287.06,15250.97,14233.86,14957.26,36086561,37088597760.0,15563413,BK0433,农牧饲渔,15104.03,4,72,1,942574704000.0,9427943280.0,13033600288.0,-3605657008.0,2310139248.0,3929527840.0,-1619388592.0,7117804032.0,9104072448.0,-1986268416.0,12561520384.0,12184978688.0,376541696.0,14317352704.0,11088237568.0,3229115136.0,20523148,5.43,-816.97,-5.41,6.73
2022-04-22,13591.06,14024.99,13548.71,13986.78,25205714,24074925312.0,11764711,BK0433,农牧饲渔,14287.06,7,68,2,914798112000.0,5776401008.0,7248371968.0,-1471970960.0,1213231472.0,1930039040.0,-716807568.0,4563169536.0,5318332928.0,-755163392.0,8027852544.0,8078382848.0,-50530304.0,9684870912.0,8162369536.0,1522501376.0,13441002,3.79,-696.0,-4.87,3.33
2022-04-25,12697.15,13489.69,12696.09,13331.16,24450223,23341366272.0,10754523,BK0433,农牧饲渔,13591.05,1,75,1,872137552000.0,5279890768.0,6867124288.0,-1587233520.0,1074341456.0,1684489792.0,-610148336.0,4205549312.0,5182634496.0,-977085184.0,7970333952.0,7626346240.0,343987712.0,9654865664.0,8411619840.0,1243245824.0,13695700,3.68,-893.9,-6.58,5.84
2022-04-26,12115.29,12754.64,12072.4,12628.61,21650262,19827624192.0,9609924,BK0433,农牧饲渔,12697.15,5,70,2,843136784000.0,4299507040.0,5594242608.0,-1294735568.0,782766736.0,1328467920.0,-545701184.0,3516740304.0,4265774688.0,-749034384.0,6697347584.0,6815864832.0,-118517248.0,8536826112.0,7123573504.0,1413252608.0,12040338,3.25,-581.86,-4.58,5.37
2022-04-27,12466.91,12466.91,11649.41,11935.2,21683114,19437832704.0,11159949,BK0433,农牧饲渔,12115.29,66,10,1,883796992000.0,4920599760.0,4970094688.0,-49494928.0,1080551200.0,1039129616.0,41421584.0,3840048560.0,3930965072.0,-90916512.0,6711106560.0,6623981056.0,87125504.0,7485967104.0,7523597824.0,-37630720.0,10523165,3.26,351.62,2.9,6.75
2022-04-28,12067.0,12354.51,11886.23,12312.41,17288025,15300346112.0,7354449,BK0433,农牧饲渔,12466.91,7,68,2,858846272000.0,3306988336.0,4063343472.0,-756355136.0,615484160.0,1007644864.0,-392160704.0,2691504176.0,3055698608.0,-364194432.0,5097882624.0,5166364160.0,-68481536.0,6635136512.0,5810299648.0,824836864.0,9933576,2.59,-399.91,-3.21,3.76
2022-04-29,12375.05,12450.85,12114.09,12114.09,19176373,19124153088.0,9768598,BK0433,农牧饲渔,12067.0,64,13,0,853712576000.0,5032457264.0,5642918064.0,-610460800.0,1237419168.0,1487346720.0,-249927552.0,3795038096.0,4155571344.0,-360533248.0,6369734400.0,6518817280.0,-149082880.0,7414317056.0,6654773504.0,759543552.0,9407774,2.87,308.05,2.55,2.79
2022-05-02,12375.05,12450.85,12114.09,12114.09,19176373,19124153088.0,9768598,BK0433,农牧饲渔,12067.0,64,13,0,853712576000.0,5032457264.0,5642918064.0,-610460800.0,1237419168.0,1487346720.0,-249927552.0,3795038096.0,4155571344.0,-360533248.0,6369734400.0,6518817280.0,-149082880.0,7414317056.0,6654773504.0,759543552.0,9407774,2.87,308.05,2.55,2.79
2022-05-03,12375.05,12450.85,12114.09,12114.09,19176373,19124153088.0,9768598,BK0433,农牧饲渔,12067.0,64,13,0,853712576000.0,5032457264.0,5642918064.0,-610460800.0,1237419168.0,1487346720.0,-249927552.0,3795038096.0,4155571344.0,-360533248.0,6369734400.0,6518817280.0,-149082880.0,7414317056.0,6654773504.0,759543552.0,9407774,2.88,308.05,2.55,2.79
2022-05-04,12375.05,12450.85,12114.09,12114.09,19176373,19124153088.0,9768598,BK0433,农牧饲渔,12067.0,64,13,0,853712576000.0,5032457264.0,5642918064.0,-610460800.0,1237419168.0,1487346720.0,-249927552.0,3795038096.0,4155571344.0,-360533248.0,6369734400.0,6518817280.0,-149082880.0,7414317056.0,6654773504.0,759543552.0,9407774,2.88,308.05,2.55,2.79
2022-05-09,12845.18,12845.18,12482.83,12508.95,15111073,14873045504.0,7731985,BK0433,农牧饲渔,12536.25,70,4,3,867516432000.0,3675230480.0,3404195440.0,271035040.0,887712656.0,672308208.0,215404448.0,2787517824.0,2731887232.0,55630592.0,5000031232.0,5087074560.0,-87043328.0,5880331008.0,6064322816.0,-183991808.0,7379088,2.26,308.93,2.46,2.89
2022-05-10,12987.08,12987.08,12517.69,12670.85,17780330,16867369984.0,8846248,BK0433,农牧饲渔,12845.18,53,21,3,875927504000.0,4042855632.0,4107162608.0,-64306976.0,863016688.0,865019520.0,-2002832.0,3179838944.0,3242143088.0,-62304144.0,5680687616.0,5637062912.0,43624704.0,6707459584.0,6686777344.0,20682240.0,8934082,2.66,141.9,1.1,3.65
2022-05-11,12847.19,13059.33,12838.03,12970.38,22441557,21554869760.0,10019853,BK0433,农牧饲渔,12987.08,15,57,5,866334224000.0,5237510800.0,5663124512.0,-425613712.0,1093831856.0,1402119584.0,-308287728.0,4143678944.0,4261004928.0,-117325984.0,7596951552.0,7241076992.0,355874560.0,8267883264.0,8198144000.0,69739264.0,12421705,3.36,-139.89,-1.08,1.7
2022-05-12,12734.66,12973.52,12555.21,12740.24,16321123,16104915456.0,6877766,BK0433,农牧饲渔,12847.19,17,57,3,856678832000.0,3459919136.0,4685166704.0,-1225247568.0,647588688.0,1164883744.0,-517295056.0,2812330448.0,3520282960.0,-707952512.0,5557934336.0,5466895872.0,91038464.0,6781401600.0,5647192576.0,1134209024.0,9443357,2.45,-112.53,-0.88,3.26
2022-05-13,12831.45,12923.7,12631.51,12776.8,17230502,17804915968.0,8476459,BK0433,农牧饲渔,12734.66,49,27,1,856478048000.0,4824591840.0,5050260896.0,-225669056.0,1321849904.0,1277736480.0,44113424.0,3502741936.0,3772524416.0,-269782480.0,6042039040.0,6264632320.0,-222593280.0,6665410560.0,6217148160.0,448262400.0,8754043,2.58,96.79,0.76,2.29
2022-05-16,13349.21,13355.9,12915.78,13015.81,26799391,26838623232.0,14428981,BK0433,农牧饲渔,12831.45,68,7,2,886687152000.0,8989344416.0,7756905552.0,1232438864.0,3045364384.0,1972770640.0,1072593744.0,5943980032.0,5784134912.0,159845120.0,8796816896.0,9107945728.0,-311128832.0,8452530432.0,9373840640.0,-921310208.0,12370410,4.02,517.76,4.04,3.43
