,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,17701.46,17734.83,17050.71,17159.62,31154727,39622391296.0,16145525,BK0447,互联网服务,17474.47,91,37,6,1123173632000.0,13210614608.0,14379368960.0,-1168754352.0,4000275024.0,4524950272.0,-524675248.0,9210339584.0,9854418688.0,-644079104.0,13282774784.0,13166575872.0,116198912.0,12304612352.0,11252057088.0,1052555264.0,15009202,3.67,226.99,1.3,3.91
2022-03-14,17145.68,17691.15,17145.57,17537.62,25374068,32329272064.0,10973972,BK0447,互联网服务,17701.46,9,124,1,1086101344000.0,9062086640.0,11249230144.0,-2187143504.0,2306377200.0,3223695424.0,-917318224.0,6755709440.0,8025534720.0,-1269825280.0,10899444992.0,11095560192.0,-196115200.0,11482952704.0,9099694080.0,2383258624.0,14400096,2.99,-555.78,-3.14,3.08
2022-03-15,16458.83,17289.88,16458.83,17057.51,29739455,36278046720.0,13112882,BK0447,互联网服务,17145.68,10,124,0,1041578000000.0,10620675008.0,12185633168.0,-1564958160.0,2839440064.0,3353601680.0,-514161616.0,7781234944.0,8832031488.0,-1050796544.0,12334507776.0,12286249728.0,48258048.0,12455123712.0,10938423808.0,1516699904.0,16626573,3.51,-686.85,-4.01,4.85
2022-03-16,17130.65,17167.96,16399.53,16711.26,33745319,44288333824.0,18220380,BK0447,互联网服务,16458.83,127,7,0,1100401776000.0,17424047104.0,15056734976.0,2367312128.0,6876499200.0,4613891840.0,2262607360.0,10547547904.0,10442843136.0,104704768.0,13813486080.0,14907251456.0,-1093765376.0,12232716288.0,13506262272.0,-1273545984.0,15524939,3.98,671.82,4.08,4.67
2022-03-17,17380.32,17607.82,17230.37,17286.2,35704310,48601739264.0,17030630,BK0447,互联网服务,17130.65,106,28,0,1120086416000.0,18686592768.0,18499040000.0,187552768.0,6979003392.0,6291815168.0,687188224.0,11707589376.0,12207224832.0,-499635456.0,15082252800.0,15860172544.0,-777919744.0,13489922560.0,12899555584.0,590366976.0,18673680,4.21,249.67,1.46,2.2
2022-03-18,17433.21,17472.82,17227.39,17273.38,27455248,34121162240.0,13458467,BK0447,互联网服务,17380.32,76,55,3,1120777856000.0,10943003872.0,11933531264.0,-990527392.0,3480678368.0,3569658752.0,-88980384.0,7462325504.0,8363872512.0,-901547008.0,11152429056.0,11143326720.0,9102336.0,10698605056.0,9717179904.0,981425152.0,13996781,3.24,52.89,0.3,1.41
2022-03-21,17547.5,17598.14,17311.17,17473.55,27449098,35118326016.0,12660134,BK0447,互联网服务,17433.21,73,58,3,1112546624000.0,10239088336.0,12942620672.0,-2703532336.0,2523481552.0,4461381888.0,-1937900336.0,7715606784.0,8481238784.0,-765632000.0,12097485824.0,11387784704.0,709701120.0,11949201920.0,9955370496.0,1993831424.0,14788964,3.24,114.29,0.66,1.65
2022-03-22,17526.69,17663.06,17344.51,17495.43,25942218,31958527488.0,12787881,BK0447,互联网服务,17547.5,50,77,7,1112037600000.0,9187838096.0,9979654416.0,-791816320.0,2094224784.0,2244969232.0,-150744448.0,7093613312.0,7734685184.0,-641071872.0,11265780480.0,11165200128.0,100580352.0,10854543616.0,10163307520.0,691236096.0,13154336,3.06,-20.81,-0.12,1.82
2022-03-23,17389.59,17560.54,17342.16,17495.37,22621346,27415630080.0,10401018,BK0447,互联网服务,17526.69,47,82,5,1109020128000.0,7686678128.0,8980295328.0,-1293617200.0,1755253360.0,2258741664.0,-503488304.0,5931424768.0,6721553664.0,-790128896.0,9494279680.0,9513762304.0,-19482624.0,9647820288.0,8334720256.0,1313100032.0,12220328,2.67,-137.1,-0.78,1.25
2022-03-24,16993.03,17289.26,16923.23,17287.65,21220550,26012587520.0,8817281,BK0447,互联网服务,17389.59,14,119,1,1088788048000.0,6907430928.0,8889037216.0,-1981606288.0,1409026320.0,2119334304.0,-710307984.0,5498404608.0,6769702912.0,-1271298304.0,8895778560.0,8854696704.0,41081856.0,9668461056.0,7727936512.0,1940524544.0,12403269,2.5,-396.56,-2.28,2.1
2022-03-25,16917.43,17231.98,16912.2,17070.1,19458366,24312769280.0,8794649,BK0447,互联网服务,16993.03,46,83,5,1074444800000.0,6394160560.0,8346929888.0,-1952769328.0,1412584368.0,2515967712.0,-1103383344.0,4981576192.0,5830962176.0,-849385984.0,8472448000.0,8199315968.0,273132032.0,8940316928.0,7260679680.0,1679637248.0,10663717,2.29,-75.6,-0.44,1.88
