,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,964.28,964.28,936.15,948.8,2819860,3381917312.0,1380914,BK1018,橡胶制品,958.8,15,12,0,237471195000.0,773155867.0,841350571.0,-68194704.0,103793179.0,163297531.0,-59504352.0,669362688.0,678053040.0,-8690352.0,1112729760.0,1132939440.0,-20209680.0,1434613872.0,1346209488.0,88404384.0,1438945,1.39,5.48,0.57,2.93
2022-03-14,939.94,959.36,939.94,955.92,2113184,2627849888.0,893333,BK1018,橡胶制品,964.28,4,23,0,230370157000.0,463652596.0,544802947.0,-81150351.0,45560676.0,91174259.0,-45613583.0,418091920.0,453628688.0,-35536768.0,962743840.0,827038208.0,135705632.0,1154129520.0,1208684800.0,-54555280.0,1219851,1.04,-24.34,-2.52,2.01
2022-03-15,892.85,935.76,892.63,935.76,2891000,3221559088.0,1128413,BK1018,橡胶制品,939.94,0,27,0,219082154000.0,613715049.0,792044798.0,-178329749.0,91271753.0,133230094.0,-41958341.0,522443296.0,658814704.0,-136371408.0,1080744688.0,1036620032.0,44124656.0,1483716320.0,1349511248.0,134205072.0,1762587,1.42,-47.09,-5.01,4.59
2022-03-16,919.02,919.98,874.9,907.65,2810609,3344200416.0,1428159,BK1018,橡胶制品,892.85,27,0,0,226296120000.0,798362400.0,789014373.0,9348027.0,159036224.0,142843301.0,16192923.0,639326176.0,646171072.0,-6844896.0,1115444480.0,1090101488.0,25342992.0,1380239888.0,1414930912.0,-34691024.0,1382450,1.38,26.17,2.93,5.05
2022-03-17,939.94,950.19,930.46,933.76,2794743,3921100896.0,1444781,BK1018,橡胶制品,919.02,25,1,1,233725548000.0,1249037536.0,1000085794.0,248951742.0,321691696.0,194908626.0,126783070.0,927345840.0,805177168.0,122168672.0,1264520992.0,1295002640.0,-30481648.0,1330618368.0,1549088464.0,-218470096.0,1349962,1.37,20.92,2.28,2.15
2022-03-18,952.91,953.74,934.0,936.54,2227458,3292731280.0,1174736,BK1018,橡胶制品,939.94,24,3,0,236484331000.0,788706666.0,737530445.0,51176221.0,129107258.0,127585837.0,1521421.0,659599408.0,609944608.0,49654800.0,1127366640.0,1076445296.0,50921344.0,1263775872.0,1365873424.0,-102097552.0,1052723,1.09,12.97,1.38,2.1
2022-03-21,958.24,962.74,947.12,953.52,2489615,3183635152.0,1246437,BK1018,橡胶制品,952.91,16,9,2,236591051000.0,735674498.0,731251978.0,4422520.0,119129426.0,203244954.0,-84115528.0,616545072.0,528007024.0,88538048.0,1075351104.0,1031057616.0,44293488.0,1316966480.0,1365682480.0,-48716000.0,1243178,1.22,5.33,0.56,1.64
2022-03-22,952.53,958.34,946.79,956.22,1868330,2516077280.0,865864,BK1018,橡胶制品,958.24,10,14,3,234118844000.0,499373755.0,543742857.0,-44369102.0,88648635.0,107195481.0,-18546846.0,410725120.0,436547376.0,-25822256.0,796778704.0,842035024.0,-45256320.0,1178219904.0,1088594480.0,89625424.0,1002467,0.92,-5.71,-0.6,1.21
2022-03-23,953.23,960.66,950.63,955.18,2022976,2693204400.0,1020255,BK1018,橡胶制品,952.53,12,14,1,235103048000.0,705351401.0,633705363.0,71646038.0,132464377.0,136528707.0,-4064330.0,572887024.0,497176656.0,75710368.0,864802336.0,901622656.0,-36820320.0,1085761072.0,1120586800.0,-34825728.0,1002722,0.99,0.7,0.07,1.05
2022-03-24,939.25,948.71,937.47,948.71,1760131,2417581136.0,775031,BK1018,橡胶制品,953.23,0,27,0,231166677000.0,480464649.0,616582826.0,-136118177.0,79406025.0,154941978.0,-75535953.0,401058624.0,461640848.0,-60582224.0,828176416.0,804070624.0,24105792.0,1071665616.0,959653248.0,112012368.0,985100,0.86,-13.98,-1.47,1.18
