,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,9830.02,9838.7,9520.49,9704.23,2602529,3293942592.0,1292171,BK0458,仪器仪表,9801.06,22,25,1,137066292000.0,671989839.0,827218879.0,-155229040.0,103512383.0,173302559.0,-69790176.0,568477456.0,653916320.0,-85438864.0,1220006640.0,1202708832.0,17297808.0,1338210128.0,1200278912.0,137931216.0,1310358,2.22,28.96,0.3,3.25
2022-03-14,9598.28,9795.77,9598.28,9770.16,2785389,3329950816.0,1086408,BK0458,仪器仪表,9830.02,3,44,1,133060976000.0,878545824.0,1014080112.0,-135534288.0,351155552.0,322080288.0,29075264.0,527390272.0,691999824.0,-164609552.0,1095822720.0,1096090880.0,-268160.0,1285856976.0,1150054528.0,135802448.0,1698981,2.37,-231.74,-2.36,2.01
2022-03-15,9193.58,9611.08,9193.58,9573.51,3440587,4286407456.0,1532951,BK0458,仪器仪表,9598.28,6,42,0,126308714000.0,1014594516.0,1219777280.0,-205182764.0,267599076.0,296243152.0,-28644076.0,746995440.0,923534128.0,-176538688.0,1499558800.0,1454967504.0,44591296.0,1665022592.0,1504431120.0,160591472.0,1907635,2.93,-404.7,-4.22,4.35
2022-03-16,9466.58,9491.01,9036.32,9298.0,3481809,4654932992.0,1692368,BK0458,仪器仪表,9193.58,44,4,0,130017955000.0,1157234800.0,1355815584.0,-198580784.0,303052352.0,385121552.0,-82069200.0,854182448.0,970694032.0,-116511584.0,1656357744.0,1582589280.0,73768464.0,1745958880.0,1621146576.0,124812304.0,1789441,2.96,273.0,2.97,4.95
2022-03-17,9608.7,9739.54,9543.0,9543.0,3677026,5154268160.0,1838343,BK0458,仪器仪表,9466.58,36,10,4,131863797000.0,1238086192.0,1531187344.0,-293101152.0,176023408.0,353995728.0,-177972320.0,1062062784.0,1177191616.0,-115128832.0,1839179728.0,1776665952.0,62513776.0,1918904608.0,1688317216.0,230587392.0,1838684,3.13,142.12,1.5,2.08
2022-03-18,9668.94,9684.03,9555.37,9581.69,2754570,3750325696.0,1378629,BK0458,仪器仪表,9608.7,33,15,2,133247968000.0,935995396.0,1001528247.0,-65532851.0,181658724.0,185417431.0,-3758707.0,754336672.0,816110816.0,-61774144.0,1336665808.0,1330845728.0,5820080.0,1366068784.0,1306356016.0,59712768.0,1375940,2.35,60.24,0.63,1.34
2022-03-21,9803.52,9806.64,9652.29,9682.05,2613921,3721931296.0,1232807,BK0458,仪器仪表,9668.94,34,13,3,134139553000.0,788939809.0,953999999.0,-165060190.0,80700065.0,157674495.0,-76974430.0,708239744.0,796325504.0,-88085760.0,1414111152.0,1388277600.0,25833552.0,1436330080.0,1297103456.0,139226624.0,1381114,2.22,134.58,1.39,1.6
2022-03-22,9776.02,9825.75,9711.89,9815.06,2378844,3599415552.0,1054734,BK0458,仪器仪表,9803.52,20,28,2,133740782000.0,751777954.0,909384310.0,-157606356.0,123974242.0,126294278.0,-2320036.0,627803712.0,783090032.0,-155286320.0,1341968304.0,1318351264.0,23617040.0,1437974576.0,1303985248.0,133989328.0,1324110,2.02,-27.5,-0.28,1.16
2022-03-23,9824.54,9881.87,9753.05,9788.75,2285552,3225766208.0,1113742,BK0458,仪器仪表,9776.02,28,19,3,134958347000.0,729830687.0,772056750.0,-42226063.0,120565855.0,114542990.0,6022865.0,609264832.0,657513760.0,-48248928.0,1177346736.0,1226753216.0,-49406480.0,1249089312.0,1157456752.0,91632560.0,1171810,1.94,48.52,0.5,1.32
2022-03-24,9638.37,9808.97,9622.74,9808.97,2556458,3257008768.0,1009501,BK0458,仪器仪表,9824.54,5,43,2,132247887000.0,643439720.0,795977335.0,-152537615.0,101670568.0,143316295.0,-41645727.0,541769152.0,652661040.0,-110891888.0,1186975648.0,1221260864.0,-34285216.0,1355594304.0,1168771456.0,186822848.0,1546956,2.18,-186.17,-1.89,1.9
