,最新,最高,最低,今开,总手,金额,外盘,量比,涨停,跌停,代码,名称,昨收,均价,总值,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,动态市盈率,静态市盈率,滚动市盈率,市净,换手,涨跌,涨幅,净资产收益率,总营收
2022-03-12,229.85,231.79,220.02,222.0,186116,4186645904.0,97939,0.71,252.01,206.19,002594,比亚迪,229.1,224.95,669126185221.75,265490135314.75,2207494960.0,2108100128.0,99394832.0,839067776.0,973328576.0,-134260800.0,1368427184.0,1134771552.0,233655632.0,1170688400.0,1339882480.0,-169194080.0,729450928.0,659651680.0,69799248.0,205.41,158.03,205.01,8.11,1.61,0.75,0.33,3.06,145192358000.0
2022-03-14,219.0,225.0,219.0,225.0,150841,3336922832.0,61238,0.62,252.84,206.87,002594,比亚迪,229.85,221.22,637540285245.0,252957753465.0,1217147728.0,1791593872.0,-574446144.0,377647664.0,759040192.0,-381392528.0,839500064.0,1032553680.0,-193053616.0,1089308192.0,1108963984.0,-19655792.0,940673392.0,346571456.0,594101936.0,195.72,150.57,195.34,7.73,1.31,-10.85,-4.72,3.06,145192358000.0
2022-03-15,212.8,222.0,209.43,211.13,198204,4269341888.0,102432,0.88,240.9,197.1,002594,比亚迪,219.0,215.4,619491199544.0,245796392408.0,1819327408.0,2218423408.0,-399096000.0,687090576.0,1076024512.0,-388933936.0,1132236832.0,1142398896.0,-10162064.0,1403078144.0,1323650720.0,79427424.0,904796144.0,585127568.0,319668576.0,190.17,146.3,189.81,7.51,1.72,-6.2,-2.83,3.06,145192358000.0
2022-03-16,229.43,230.0,214.2,221.0,333766,7432043520.0,202882,1.61,234.08,191.52,002594,比亚迪,212.8,222.67,667903505222.65,265005010856.05002,4495301424.0,3044946416.0,1450355008.0,2372902160.0,1150894560.0,1222007600.0,2122399264.0,1894051856.0,228347408.0,1948541680.0,2693087568.0,-744545888.0,872934320.0,1578743456.0,-705809136.0,205.04,157.74,204.64,8.1,2.89,16.63,7.81,3.06,145192358000.0
2022-03-17,234.9,240.88,234.66,240.38,315844,7518685440.0,175015,1.41,252.37,206.49,002594,比亚迪,229.43,238.05,683827456639.5,271323179401.5,4083182288.0,3755625392.0,327556896.0,2060122896.0,1747178624.0,312944272.0,2023059392.0,2008446768.0,14612624.0,2002503264.0,2366352080.0,-363848816.0,1154302384.0,1118010464.0,36291920.0,209.93,161.5,209.52,8.29,2.73,5.47,2.38,3.06,145192358000.0
2022-03-18,234.5,238.87,232.05,234.9,150549,3530653264.0,77856,0.64,258.39,211.41,002594,比亚迪,234.9,234.52,682662999497.5,270861156107.5,1645923504.0,1543270368.0,102653136.0,671601200.0,572315344.0,99285856.0,974322304.0,970955024.0,3367280.0,1054397840.0,1243120816.0,-188722976.0,647448720.0,561378864.0,86069856.0,209.57,161.22,209.16,8.28,1.3,-0.4,-0.17,3.06,145192358000.0
2022-03-21,245.38,248.87,238.17,240.0,279178,6829415168.0,158616,1.21,257.95,211.05,002594,比亚迪,234.5,244.63,714336233759.9,283428189704.3,3932589440.0,3148687376.0,783902064.0,1849633536.0,1230492144.0,619141392.0,2082955904.0,1918195232.0,164760672.0,1866732336.0,2245997952.0,-379265616.0,950575840.0,1355212256.0,-404636416.0,219.29,168.7,218.87,8.66,2.42,10.88,4.64,3.06,145192358000.0
2022-03-22,244.8,247.4,242.02,245.0,115079,2815900944.0,60951,0.45,269.92,220.84,002594,比亚迪,245.38,244.69,712647770904.0,282758255928.0,1332713552.0,1230864816.0,101848736.0,669725632.0,573534016.0,96191616.0,662987920.0,657330800.0,5657120.0,796435680.0,908527568.0,-112091888.0,625849328.0,615606176.0,10243152.0,218.77,168.3,218.35,8.64,1.0,-0.58,-0.24,3.06,145192358000.0
2022-03-23,247.17,251.0,246.27,250.0,148501,3696654256.0,78715,0.62,269.28,220.32,002594,比亚迪,244.8,248.93,719547179470.35,285495743944.95,1823168736.0,1704219424.0,118949312.0,781505232.0,678509968.0,102995264.0,1041663504.0,1025709456.0,15954048.0,1123063792.0,1160194192.0,-37130400.0,651780176.0,733599088.0,-81818912.0,220.89,169.93,220.46,8.72,1.29,2.37,0.97,3.06,145192358000.0
2022-03-24,247.08,250.0,242.4,243.7,113681,2794432832.0,63042,0.56,271.89,222.45,002594,比亚迪,247.17,245.81,719285176613.4,285391788703.8,1393865584.0,1285702384.0,108163200.0,643003984.0,550923600.0,92080384.0,750861600.0,734778784.0,16082816.0,874915280.0,883812624.0,-8897344.0,482467456.0,581733296.0,-99265840.0,220.81,169.87,220.38,8.72,0.98,-0.09,-0.04,3.06,145192358000.0
