,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,1918.57,1922.04,1862.05,1894.46,15080489,22218427136.0,7340178,BK0910,专用设备,1919.61,107,88,13,983029776000.0,5410070256.0,5779310992.0,-369240736.0,980438512.0,1180717200.0,-200278688.0,4429631744.0,4598593792.0,-168962048.0,7809069568.0,8082033408.0,-272963840.0,8515955456.0,7873750784.0,642204672.0,7740312,1.72,-1.04,-0.05,3.13
2022-03-14,1866.99,1906.17,1866.93,1906.05,14702740,20514601984.0,6251731,BK0910,专用设备,1918.56,23,184,1,959623152000.0,4579889696.0,5075773264.0,-495883568.0,1073724448.0,1179260496.0,-105536048.0,3506165248.0,3896512768.0,-390347520.0,7093896704.0,7070840832.0,23055872.0,8363549184.0,7890721536.0,472827648.0,8451009,1.68,-51.57,-2.69,2.05
2022-03-15,1773.31,1862.36,1773.31,1859.36,18516871,23352719360.0,7919424,BK0910,专用设备,1866.99,11,195,2,910045264000.0,4698841216.0,6096782112.0,-1397940896.0,881214976.0,1517593888.0,-636378912.0,3817626240.0,4579188224.0,-761561984.0,8270919936.0,8094471424.0,176448512.0,9927705088.0,8706212608.0,1221492480.0,10597447,2.12,-93.68,-5.02,4.77
2022-03-16,1834.85,1838.51,1749.22,1797.33,19223128,25512531968.0,10100348,BK0910,专用设备,1773.31,197,10,1,942396592000.0,6390480640.0,6381283232.0,9197408.0,1586534912.0,1387968416.0,198566496.0,4803945728.0,4993314816.0,-189369088.0,9004338432.0,9127696384.0,-123357952.0,9704945664.0,9590785280.0,114160384.0,9122781,2.2,61.54,3.47,5.04
2022-03-17,1876.59,1899.4,1851.09,1851.63,19540559,29079307008.0,9494121,BK0910,专用设备,1834.85,164,39,5,968258144000.0,8057495680.0,7867518608.0,189977072.0,2179256960.0,1821480848.0,357776112.0,5878238720.0,6046037760.0,-167799040.0,9957896192.0,10440412928.0,-482516736.0,10532863488.0,10240323584.0,292539904.0,10046438,2.23,41.74,2.27,2.63
2022-03-18,1892.26,1896.41,1868.82,1873.22,14471376,20479498752.0,7442518,BK0910,专用设备,1876.59,129,73,6,971614928000.0,4822037024.0,4886893136.0,-64856112.0,995099808.0,926351680.0,68748128.0,3826937216.0,3960541456.0,-133604240.0,7051150336.0,7331692800.0,-280542464.0,7993416960.0,7648018432.0,345398528.0,7028857,1.65,15.67,0.84,1.47
2022-03-21,1931.38,1931.84,1898.31,1898.31,15894890,22525932032.0,7814865,BK0910,专用设备,1892.26,157,45,6,986437488000.0,5697977760.0,5856505024.0,-158527264.0,1340102304.0,1303820992.0,36281312.0,4357875456.0,4552684032.0,-194808576.0,7862055168.0,7967972352.0,-105917184.0,8496307712.0,8231863296.0,264444416.0,8080025,1.82,39.12,2.07,1.77
2022-03-22,1924.75,1938.06,1913.78,1933.18,17289965,24377849088.0,8428930,BK0910,专用设备,1931.38,77,126,5,987564704000.0,6105292816.0,6237719440.0,-132426624.0,1276652560.0,1292354704.0,-15702144.0,4828640256.0,4945364736.0,-116724480.0,8460687360.0,8701298432.0,-240611072.0,9284290304.0,8911252736.0,373037568.0,8861035,1.97,-6.63,-0.34,1.26
2022-03-23,1932.21,1943.21,1924.19,1930.2,15710146,22286563328.0,7381445,BK0910,专用设备,1924.75,103,100,5,994327296000.0,5682872768.0,6108644928.0,-425772160.0,1288520896.0,1440181056.0,-151660160.0,4394351872.0,4668463872.0,-274112000.0,7792107776.0,7919700224.0,-127592448.0,8306881024.0,7753516288.0,553364736.0,8328701,1.79,7.46,0.39,0.99
2022-03-24,1898.04,1926.46,1893.1,1926.46,16631036,22007290112.0,7455848,BK0910,专用设备,1932.21,24,182,2,978267280000.0,4944979984.0,5899982544.0,-955002560.0,1051557632.0,1320089296.0,-268531664.0,3893422352.0,4579893248.0,-686470896.0,7624485632.0,7646416384.0,-21930752.0,8844182016.0,7867248896.0,976933120.0,9175188,1.89,-34.17,-1.77,1.73
