,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,441.89,442.9,428.79,439.71,10196661,8018723584.0,4744724,BK0728,环保行业,443.55,39,56,8,439517296000.0,1569209260.0,1896654944.0,-327445684.0,226637532.0,298389840.0,-71752308.0,1342571728.0,1598265104.0,-255693376.0,2729674000.0,2762072384.0,-32398384.0,3549603328.0,3189759248.0,359844080.0,5451936,1.95,-1.66,-0.37,3.18
2022-03-14,425.64,439.13,425.64,439.13,9243476,7526671360.0,3596617,BK0728,环保行业,441.89,5,98,0,421254832000.0,1301569178.0,1816937152.0,-515367974.0,193481658.0,303584208.0,-110102550.0,1108087520.0,1513352944.0,-405265424.0,2572788944.0,2491799568.0,80989376.0,3505434736.0,3071056128.0,434378608.0,5646860,1.77,-16.25,-3.68,3.05
2022-03-15,400.58,423.49,400.58,423.4,11458397,8596922368.0,4688709,BK0728,环保行业,425.64,1,102,0,397278992000.0,1496755863.0,2091354384.0,-594598521.0,166746599.0,372323168.0,-205576569.0,1330009264.0,1719031216.0,-389021952.0,2912821760.0,2835291296.0,77530464.0,4035842304.0,3518774224.0,517068080.0,6769688,2.19,-25.06,-5.89,5.38
2022-03-16,411.76,413.06,393.83,406.43,11327295,8354289408.0,6098830,BK0728,环保行业,400.58,99,4,0,410301280000.0,1731589411.0,1972418448.0,-240829037.0,254610067.0,317841184.0,-63231117.0,1476979344.0,1654577264.0,-177597920.0,2866879376.0,2804958864.0,61920512.0,3611327888.0,3432419344.0,178908544.0,5228465,2.16,11.18,2.79,4.8
2022-03-17,417.28,422.77,415.23,415.35,11297460,8762452480.0,5490121,BK0728,环保行业,411.76,86,14,3,417583680000.0,1899648816.0,2075480384.0,-175831568.0,280492720.0,306389440.0,-25896720.0,1619156096.0,1769090944.0,-149934848.0,3083740176.0,3019720608.0,64019568.0,3605913408.0,3494101392.0,111812016.0,5807339,2.16,5.52,1.34,1.83
2022-03-18,424.96,425.9,414.91,416.21,10126398,7237928448.0,5492282,BK0728,环保行业,417.28,88,14,1,423134176000.0,1523044921.0,1588994240.0,-65949319.0,220323561.0,241724224.0,-21400663.0,1302721360.0,1347270016.0,-44548656.0,2480661744.0,2489484560.0,-8822816.0,3026492912.0,2951720784.0,74772128.0,4634117,1.93,7.68,1.84,2.63
2022-03-21,432.49,432.49,424.06,425.91,11581470,8451881216.0,5520972,BK0728,环保行业,424.96,86,15,2,427908080000.0,2071638336.0,2088596160.0,-16957824.0,448169792.0,356956784.0,91213008.0,1623468544.0,1731639376.0,-108170832.0,2888182064.0,2903574448.0,-15392384.0,3309596112.0,3277245904.0,32350208.0,6060498,2.21,7.53,1.77,1.98
2022-03-22,428.8,431.8,425.64,430.79,9091526,7018925824.0,4015952,BK0728,环保行业,432.49,27,72,4,426949856000.0,1365030052.0,1738682624.0,-373652572.0,190228068.0,293771968.0,-103543900.0,1174801984.0,1444910656.0,-270108672.0,2480450000.0,2416781504.0,63668496.0,3005170208.0,2695186144.0,309984064.0,5075574,1.74,-3.69,-0.85,1.42
2022-03-23,428.07,430.8,426.3,429.66,7936658,6009573632.0,3505750,BK0728,环保行业,428.8,38,63,3,425089088000.0,1202518277.0,1416923321.0,-214405044.0,148382277.0,230389705.0,-82007428.0,1054136000.0,1186533616.0,-132397616.0,2123079712.0,2093861840.0,29217872.0,2560108272.0,2374921088.0,185187184.0,4430908,1.52,-0.73,-0.17,1.05
2022-03-24,422.39,426.79,421.92,426.79,7296940,5645254912.0,3045754,BK0728,环保行业,428.07,12,89,3,419475568000.0,1143492442.0,1325327683.0,-181835241.0,193570202.0,179483795.0,14086407.0,949922240.0,1145843888.0,-195921648.0,1960849376.0,1936441392.0,24407984.0,2428173152.0,2270745888.0,157427264.0,4251186,1.39,-5.68,-1.33,1.14
