,最新,最高,最低,今开,总手,金额,外盘,量比,涨停,跌停,代码,名称,昨收,均价,总值,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,动态市盈率,静态市盈率,滚动市盈率,市净,换手,涨跌,涨幅,净资产收益率,总营收
2022-03-12,16.65,16.75,16.02,16.35,1021248,1676581392.0,538127,0.62,18.45,15.09,000002,万  科Ａ,16.77,16.42,193562633193.74997,161797261862.25,656641881.0,780687903.0,-124046022.0,173543641.0,235620799.0,-62077158.0,483098240.0,545067104.0,-61968864.0,538914400.0,564559744.0,-25645344.0,445543952.0,295852592.0,149691360.0,8.7,4.66,5.05,0.85,1.05,-0.12,-0.72,7.31,271485774926.48
2022-03-14,16.09,16.95,16.04,16.38,1125945,1852414496.0,524004,0.79,18.32,14.99,000002,万  科Ａ,16.65,16.45,187052418503.75,156355432033.85,645917960.0,989019680.0,-343101720.0,206266664.0,369799040.0,-163532376.0,439651296.0,619220640.0,-179569344.0,627043472.0,487194880.0,139848592.0,550215904.0,346962768.0,203253136.0,8.41,4.51,4.88,0.82,1.16,-0.56,-3.36,7.31,271485774926.48
2022-03-15,14.8,15.89,14.77,15.8,2098842,3215504864.0,986355,1.48,17.7,14.48,000002,万  科Ａ,16.09,15.32,172055673950.0,143819788322.0,1246399232.0,1784285088.0,-537885856.0,479338256.0,825662944.0,-346324688.0,767060976.0,958622144.0,-191561168.0,974120688.0,916971616.0,57149072.0,949589024.0,468852256.0,480736768.0,7.73,4.14,4.49,0.76,2.16,-1.29,-8.02,7.31,271485774926.48
2022-03-16,15.51,15.8,14.43,15.2,2100987,3180485808.0,1086410,1.38,16.28,13.32,000002,万  科Ａ,14.8,15.14,180309696146.25,150719251140.15,1634113344.0,1464170704.0,169942640.0,845767536.0,478696736.0,367070800.0,788345808.0,985473968.0,-197128160.0,801793056.0,982625984.0,-180832928.0,698912464.0,688022176.0,10890288.0,8.1,4.34,4.7,0.79,2.16,0.71,4.8,7.31,271485774926.48
2022-03-17,16.68,16.88,16.28,16.41,2216236,3669244192.0,1111838,1.5,17.06,13.96,000002,万  科Ａ,15.51,16.56,193911394695.0,162088788460.2,2102160400.0,1659714832.0,442445568.0,1114130960.0,706152032.0,407978928.0,988029440.0,953562800.0,34466640.0,857215552.0,1096128144.0,-238912592.0,592010880.0,795543856.0,-203532976.0,8.71,4.67,5.06,0.85,2.28,1.17,7.54,7.31,271485774926.48
2022-03-18,17.45,17.55,16.3,16.44,1839484,3126922096.0,1022027,1.07,18.35,15.01,000002,万  科Ａ,16.68,17.0,202862939893.75,169571304474.25,1725663760.0,1315649696.0,410014064.0,887961728.0,575171872.0,312789856.0,837702032.0,740477824.0,97224208.0,669970048.0,880523760.0,-210553712.0,531735296.0,731195648.0,-199460352.0,9.12,4.89,5.29,0.89,1.89,0.77,4.62,7.31,271485774926.48
2022-03-21,16.8,17.28,16.69,17.28,1410439,2379849488.0,497408,0.75,19.2,15.71,000002,万  科Ａ,17.45,16.87,195306440700.0,163254894852.0,1069507536.0,1212303584.0,-142796048.0,386195968.0,576207312.0,-190011344.0,683311568.0,636096272.0,47215296.0,687551584.0,620971456.0,66580128.0,583150960.0,506935056.0,76215904.0,8.78,4.7,5.09,0.86,1.45,-0.65,-3.72,7.31,271485774926.48
2022-03-22,17.58,17.77,16.53,16.56,1970572,3421100896.0,1114456,1.02,18.48,15.12,000002,万  科Ａ,16.8,17.36,204374239732.49997,170834586398.69998,1972740624.0,1581878832.0,390861792.0,763009328.0,647226496.0,115782832.0,1209731296.0,934652336.0,275078960.0,893100416.0,998419760.0,-105319344.0,520758800.0,806301248.0,-285542448.0,9.18,4.92,5.33,0.9,2.03,0.78,4.64,7.31,271485774926.48
2022-03-23,17.91,18.34,17.12,17.65,1829509,3232947136.0,878173,0.96,19.34,15.82,000002,万  科Ａ,17.58,17.67,208210616246.25,174041378976.15,1778903648.0,1433948944.0,344954704.0,776483200.0,594318384.0,182164816.0,1002420448.0,839630560.0,162789888.0,814565968.0,1007351248.0,-192785280.0,569125808.0,721295248.0,-152169440.0,9.36,5.02,5.43,0.91,1.88,0.33,1.88,7.31,271485774926.48
2022-03-24,17.48,18.0,17.42,17.58,1064824,1880966656.0,492908,0.57,19.7,16.12,000002,万  科Ａ,17.91,17.66,203211701395.0,169862831072.2,897568592.0,1073434704.0,-175866112.0,380974208.0,587843008.0,-206868800.0,516594384.0,485591696.0,31002688.0,525110688.0,462212064.0,62898624.0,421098048.0,308130560.0,112967488.0,9.13,4.89,5.3,0.89,1.1,-0.43,-2.4,7.31,271485774926.48
