,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,1370.02,1374.2,1332.69,1350.32,4929415,27204438784.0,2447419,BK1033,电池,1373.21,15,25,1,1946111088000.0,12014219264.0,12480638720.0,-466419456.0,5063827200.0,5374064128.0,-310236928.0,6950392064.0,7106574592.0,-156182528.0,9026025728.0,8958472192.0,67553536.0,5644044544.0,5245178880.0,398865664.0,2481996,2.01,-3.19,-0.23,3.02
2022-03-14,1324.9,1355.51,1324.9,1355.51,4394556,24575961344.0,1941421,BK1033,电池,1370.02,4,37,0,1856358400000.0,9448567472.0,10127670032.0,-679102560.0,3247547568.0,3719724304.0,-472176736.0,6201019904.0,6407945728.0,-206925824.0,8865292544.0,8773841920.0,91450624.0,5697058304.0,5109406464.0,587651840.0,2453135,1.79,-45.12,-3.29,2.23
2022-03-15,1285.27,1348.5,1285.27,1313.51,5348321,29461069824.0,2588252,BK1033,电池,1324.9,6,35,0,1843446768000.0,12116935744.0,12270635520.0,-153699776.0,4087289408.0,4773383680.0,-686094272.0,8029646336.0,7497251840.0,532394496.0,10661969408.0,10448344832.0,213624576.0,6122964480.0,6182889472.0,-59924992.0,2760070,2.18,-39.63,-2.99,4.77
2022-03-16,1364.92,1368.69,1277.62,1311.47,7382987,42928482560.0,4041905,BK1033,电池,1285.27,41,0,0,1991068336000.0,22262868736.0,17284086272.0,4978782464.0,9768325120.0,6382498304.0,3385826816.0,12494543616.0,10901587968.0,1592955648.0,12843693312.0,15764012800.0,-2920319488.0,6980618752.0,9039081728.0,-2058462976.0,3341082,3.0,79.65,6.2,7.09
2022-03-17,1404.58,1432.34,1392.26,1392.26,8014338,48149445632.0,4100248,BK1033,电池,1364.92,37,4,0,2069509744000.0,25711528192.0,24102570240.0,1608957952.0,11667245312.0,11193598464.0,473646848.0,14044282880.0,12908971776.0,1135311104.0,14107766272.0,14939180032.0,-831413760.0,7303313664.0,8080857600.0,-777543936.0,3914090,3.26,39.66,2.91,2.94
2022-03-18,1398.76,1398.76,1369.79,1393.83,5181174,29618136832.0,2493796,BK1033,电池,1404.58,21,20,0,2032784448000.0,12454530304.0,11829612544.0,624917760.0,4852833024.0,4424305920.0,428527104.0,7601697280.0,7405306624.0,196390656.0,9223590144.0,10012420352.0,-788830208.0,5921488640.0,5757576192.0,163912448.0,2687378,2.11,-5.82,-0.41,2.06
2022-03-21,1431.29,1441.11,1400.05,1404.53,6154582,31480130304.0,3126641,BK1033,电池,1398.76,36,4,1,2064242736000.0,14262663680.0,13611183616.0,651480064.0,5732882688.0,5723518720.0,9363968.0,8529780992.0,7887664896.0,642116096.0,10349286656.0,10088564736.0,260721920.0,6159331328.0,7071533312.0,-912201984.0,3027941,2.5,32.53,2.33,2.94
2022-03-22,1420.17,1439.33,1414.82,1430.35,4640123,22032420352.0,2055288,BK1033,电池,1431.29,10,30,1,2034541472000.0,8206017968.0,9311177680.0,-1105159712.0,3017138608.0,3351917264.0,-334778656.0,5188879360.0,5959260416.0,-770381056.0,7864350208.0,7680971776.0,183378432.0,5521568512.0,4599787264.0,921781248.0,2584835,1.89,-11.12,-0.78,1.71
2022-03-23,1423.62,1446.98,1418.34,1439.28,4817535,21786347776.0,2234454,BK1033,电池,1420.17,19,22,0,2037058336000.0,7948710864.0,8675274112.0,-726563248.0,2645092304.0,3128750208.0,-483657904.0,5303618560.0,5546523904.0,-242905344.0,7529524992.0,7689605120.0,-160080128.0,5867319552.0,4980676352.0,886643200.0,2583081,1.96,3.45,0.24,2.02
2022-03-24,1401.6,1413.86,1386.15,1411.82,4543080,21021448448.0,2016707,BK1033,电池,1423.62,5,36,0,2020269104000.0,6987339120.0,8294739024.0,-1307399904.0,2430833008.0,2738997072.0,-308164064.0,4556506112.0,5555741952.0,-999235840.0,7701777408.0,7454018560.0,247758848.0,5964335872.0,4904695040.0,1059640832.0,2526373,1.85,-22.02,-1.55,1.95
