,最新,最高,最低,今开,总手,金额,外盘,量比,涨停,跌停,代码,名称,昨收,均价,总值,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,动态市盈率,静态市盈率,滚动市盈率,市净,换手,涨跌,涨幅,净资产收益率,总营收
2022-03-12,6.65,6.93,6.43,6.55,1678945,1113925152.0,817442,0.78,7.6,6.22,601789,宁波建工,6.91,6.63,6491008774.25,6491008774.25,247749552.0,279726478.0,-31976926.0,52009462.0,55406537.0,-3397075.0,195740090.0,224319941.0,-28579851.0,380926128.0,400456352.0,-19530224.0,446422576.0,394915408.0,51507168.0,17.03,23.22,16.46,2.0,17.2,-0.26,-3.76,8.28,15207949578.35
2022-03-14,6.18,6.63,6.13,6.59,1458818,934984608.0,583566,0.72,7.32,5.99,601789,宁波建工,6.65,6.41,6032245748.099999,6032245748.099999,201866245.0,288567896.0,-86701651.0,37982206.0,95863381.0,-57881175.0,163884039.0,192704515.0,-28820476.0,322784288.0,331200976.0,-8416688.0,385376240.0,290257920.0,95118320.0,15.83,21.58,15.3,1.86,14.95,-0.47,-7.07,8.28,15207949578.35
2022-03-15,6.8,6.8,6.15,6.18,2619729,1743016448.0,1295955,1.39,6.8,5.56,601789,宁波建工,6.18,6.65,6637422506.0,6637422506.0,734711872.0,534904308.0,199807564.0,398459408.0,187192132.0,211267276.0,336252464.0,347712176.0,-11459712.0,501301792.0,582083216.0,-80781424.0,496261920.0,615288064.0,-119026144.0,17.42,23.74,16.83,2.05,26.84,0.62,10.03,8.28,15207949578.35
2022-03-16,7.04,7.27,6.49,6.87,2954499,2065922384.0,1498313,1.45,7.48,6.12,601789,宁波建工,6.8,6.99,6871684476.8,6871684476.8,481115605.0,646868308.0,-165752703.0,79053637.0,219773780.0,-140720143.0,402061968.0,427094528.0,-25032560.0,719963856.0,651488176.0,68475680.0,803034064.0,705757024.0,97277040.0,18.03,24.58,17.43,2.12,30.27,0.24,3.53,8.28,15207949578.35
2022-03-17,6.93,7.26,6.88,6.9,2509327,1772877440.0,1110592,1.16,7.74,6.34,601789,宁波建工,7.04,7.07,6764314406.849999,6764314406.849999,350497064.0,455605728.0,-105108664.0,55420248.0,98825536.0,-43405288.0,295076816.0,356780192.0,-61703376.0,600228480.0,621934048.0,-21705568.0,759989760.0,633175520.0,126814240.0,17.75,24.19,17.16,2.09,25.71,-0.11,-1.56,8.28,15207949578.35
2022-03-18,6.94,7.17,6.58,6.75,2013799,1395816080.0,984463,0.9,7.62,6.24,601789,宁波建工,6.93,6.93,6774075322.3,6774075322.3,266107188.0,366769791.0,-100662603.0,25727869.0,83046927.0,-57319058.0,240379319.0,283722864.0,-43343545.0,489870128.0,482464480.0,7405648.0,602327424.0,509070464.0,93256960.0,17.77,24.23,17.18,2.09,20.63,0.01,0.14,8.28,15207949578.35
2022-03-21,7.63,7.63,7.04,7.04,1182923,880726240.0,558316,0.51,7.63,6.25,601789,宁波建工,6.94,7.45,7718651375.33,7718651375.33,361896137.0,196721963.0,165174174.0,160066248.0,38783781.0,121282467.0,201829889.0,157938182.0,43891707.0,258274654.0,298460480.0,-40185826.0,242530223.0,367518576.0,-124988353.0,20.25,27.61,19.58,2.38,11.69,0.69,9.94,8.28,15207949578.35
2022-03-22,8.39,8.39,8.01,8.3,1285794,1071006096.0,509380,0.57,8.39,6.87,601789,宁波建工,7.63,8.33,8487481656.490001,8487481656.490001,443820870.0,345794961.0,98025909.0,235036402.0,173701930.0,61334472.0,208784468.0,172093031.0,36691437.0,275204816.0,289017600.0,-13812784.0,231792785.0,316005904.0,-84213119.0,22.27,30.36,21.53,2.62,12.71,0.76,9.96,8.28,15207949578.35
2022-03-23,9.23,9.23,7.86,8.5,4385908,3786504640.0,2191012,2.2,9.23,7.55,601789,宁波建工,8.39,8.63,9337241440.93,9337241440.93,1048236944.0,1096967616.0,-48730672.0,360872208.0,316828288.0,44043920.0,687364736.0,780139328.0,-92774592.0,1278920768.0,1312809360.0,-33888592.0,1382649408.0,1300030160.0,82619248.0,24.5,33.4,23.68,2.88,43.36,0.84,10.01,8.28,15207949578.35
2022-03-24,8.31,9.07,8.31,8.84,2753285,2364102848.0,1170889,1.21,10.15,8.31,601789,宁波建工,9.23,8.59,8406552153.21,8406552153.21,458524612.0,807198800.0,-348674188.0,103462340.0,303503488.0,-200041148.0,355062272.0,503695312.0,-148633040.0,831951392.0,775223184.0,56728208.0,1021884864.0,729938880.0,291945984.0,22.06,30.07,21.32,2.59,27.22,-0.92,-9.97,8.28,15207949578.35
2022-03-25,7.49,8.08,7.48,7.94,2471405,1900682224.0,1010722,1.06,9.14,7.48,601789,宁波建工,8.31,7.69,7577024744.59,7577024744.59,384928366.0,506383289.0,-121454923.0,59979086.0,117334681.0,-57355595.0,324949280.0,389048608.0,-64099328.0,630644720.0,686781984.0,-56137264.0,821632400.0,644040192.0,177592208.0,19.88,27.1,19.22,2.34,24.43,-0.82,-9.87,8.28,15207949578.35
2022-03-28,7.08,7.49,7.03,7.28,1677287,1204885936.0,757980,0.69,8.24,6.74,601789,宁波建工,7.49,7.18,7162261040.28,7162261040.28,254172873.0,329430811.0,-75257938.0,34103628.0,83635275.0,-49531647.0,220069245.0,245795536.0,-25726291.0,410867392.0,413050608.0,-2183216.0,502211296.0,424770144.0,77441152.0,18.79,25.62,18.16,2.21,16.58,-0.41,-5.47,8.28,15207949578.35
2022-03-29,6.79,7.18,6.72,7.03,1520641,1052049776.0,626520,0.6,7.79,6.37,601789,宁波建工,7.08,6.92,6868891590.89,6868891590.89,182036095.0,289312909.0,-107276814.0,18395330.0,56845066.0,-38449736.0,163640765.0,232467843.0,-68827078.0,373202944.0,376914288.0,-3711344.0,475966000.0,364977856.0,110988144.0,18.02,24.57,17.42,2.12,15.03,-0.29,-4.1,8.28,15207949578.35
