,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,57830.12,57844.52,56080.66,56653.58,4712280,33990787584.0,2393271,BK0477,酿酒行业,57116.15,24,14,1,4499449600000.0,15527399168.0,15213104384.0,314294784.0,6981772544.0,6268006400.0,713766144.0,8545626624.0,8945097984.0,-399471360.0,10406509568.0,10846729984.0,-440220416.0,7225507840.0,7099582208.0,125925632.0,2319009,1.57,713.97,1.25,3.09
2022-03-14,55140.63,56908.19,55102.34,56908.19,4079523,31198443008.0,1774565,BK0477,酿酒行业,57830.13,0,39,0,4293205888000.0,11326949488.0,15177353472.0,-3850403984.0,4280138864.0,7234379264.0,-2954240400.0,7046810624.0,7942974208.0,-896163584.0,10762987008.0,9224944640.0,1538042368.0,8253992192.0,5941630720.0,2312361472.0,2304958,1.36,-2689.5,-4.65,3.12
2022-03-15,52099.7,54450.15,52091.8,54074.36,4963995,39180188672.0,2376452,BK0477,酿酒行业,55140.63,2,37,0,4065138176000.0,17300444928.0,18717998080.0,-1417553152.0,7573905408.0,8426582528.0,-852677120.0,9726539520.0,10291415552.0,-564876032.0,12342134016.0,12353682688.0,-11548672.0,8597450240.0,7168348416.0,1429101824.0,2587543,1.65,-3040.93,-5.51,4.28
2022-03-16,52980.84,53138.43,50423.0,52651.22,5475843,40006749440.0,2789337,BK0477,酿酒行业,52099.7,31,8,0,4221572928000.0,18314091008.0,17194959104.0,1119131904.0,8317612800.0,6917800960.0,1399811840.0,9996478208.0,10277158144.0,-280679936.0,12416897536.0,13423934208.0,-1007036672.0,8512891136.0,8624986368.0,-112095232.0,2686506,1.82,881.14,1.69,5.21
2022-03-17,54406.26,55239.7,53458.52,53458.52,5485426,39106933760.0,2844390,BK0477,酿酒行业,52980.84,36,3,0,4342111744000.0,18758455552.0,16373968128.0,2384487424.0,9132843776.0,6894830336.0,2238013440.0,9625611776.0,9479137792.0,146473984.0,11744604416.0,13162824704.0,-1418220288.0,7483542528.0,8449809664.0,-966267136.0,2641036,1.82,1425.42,2.69,3.36
2022-03-18,54696.99,54974.56,53932.97,54258.72,3963638,23364728064.0,2019289,BK0477,酿酒行业,54406.26,22,16,1,4319092992000.0,8385509632.0,8879562400.0,-494052768.0,3173113088.0,3315648672.0,-142535584.0,5212396544.0,5563913728.0,-351517184.0,7645246208.0,7665180416.0,-19934208.0,5490098688.0,4976111872.0,513986816.0,1944349,1.32,290.73,0.53,1.91
2022-03-21,54858.48,55015.02,54258.98,54913.79,3355944,19801324032.0,1494633,BK0477,酿酒行业,54696.99,20,16,3,4307052800000.0,6653961520.0,7921238848.0,-1267277328.0,2472013216.0,2962737984.0,-490724768.0,4181948304.0,4958500864.0,-776552560.0,7162892800.0,6631604480.0,531288320.0,5433479168.0,4697490432.0,735988736.0,1861311,1.12,161.49,0.3,1.38
2022-03-22,54329.72,54840.26,54151.14,54792.32,3215343,16393920512.0,1409410,BK0477,酿酒行业,54858.48,8,29,2,4270872160000.0,5060148976.0,6279084544.0,-1218935568.0,1771655264.0,2561898144.0,-790242880.0,3288493712.0,3717186400.0,-428692688.0,5903135744.0,5586471168.0,316664576.0,4966552576.0,4064281584.0,902270992.0,1805933,1.07,-528.76,-0.96,1.26
2022-03-23,55203.25,55619.43,54261.82,54407.1,3555878,26110176512.0,1850300,BK0477,酿酒行业,54329.72,32,7,0,4368352256000.0,12423766784.0,10665233808.0,1758532976.0,6307984640.0,4156413584.0,2151571056.0,6115782144.0,6508820224.0,-393038080.0,8088993024.0,9509377536.0,-1420384512.0,5216043264.0,5554191872.0,-338148608.0,1705578,1.18,873.53,1.61,2.5
2022-03-24,53894.3,54789.94,53840.62,54789.94,3244374,19767983104.0,1400356,BK0477,酿酒行业,55203.25,3,36,0,4271789728000.0,6075079664.0,8252376800.0,-2177297136.0,1917282512.0,3347140832.0,-1429858320.0,4157797152.0,4905235968.0,-747438816.0,7055075584.0,6748472064.0,306603520.0,6261626368.0,4390932736.0,1870693632.0,1844018,1.08,-1308.95,-2.37,1.72
