,最新,最高,最低,今开,总手,金额,外盘,量比,涨停,跌停,代码,名称,昨收,均价,总值,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,动态市盈率,静态市盈率,滚动市盈率,市净,换手,涨跌,涨幅,净资产收益率,总营收
2022-03-12,14.93,15.43,14.33,14.6,305605,458598720.0,157450,0.8,16.06,13.14,002758,浙农股份,14.6,15.01,7472584992.41,2911762068.0,100037003.0,107975750.0,-7938747.0,14281556.0,17723121.0,-3441565.0,85755447.0,90252629.0,-4497182.0,180623029.0,172234813.0,8388216.0,167931373.0,168380842.0,-449469.0,14.38,21.28,15.21,2.24,15.67,0.33,2.26,12.43,26550994886.35
2022-03-14,13.89,15.1,13.8,14.5,274163,395297888.0,123358,0.83,16.42,13.44,002758,浙农股份,14.93,14.42,6952056633.93,2708933364.0,52708844.0,101643114.0,-48934270.0,4980782.0,19413070.0,-14432288.0,47728062.0,82230044.0,-34501982.0,138014622.0,153911474.0,-15896852.0,192641608.0,127810487.0,64831121.0,13.38,19.8,14.16,2.08,14.06,-1.04,-6.97,12.43,26550994886.35
2022-03-15,13.45,14.09,13.27,13.61,236175,323930560.0,124871,0.78,15.28,12.5,002758,浙农股份,13.89,13.72,6731833097.65,2623121220.0,42110008.0,48629448.0,-6519440.0,1110781.0,5608442.0,-4497661.0,40999227.0,43021006.0,-2021779.0,110307093.0,131708870.0,-21401777.0,164746823.0,136825607.0,27921216.0,12.95,19.17,13.71,2.02,12.11,-0.44,-3.17,12.43,26550994886.35
2022-03-16,13.69,13.8,13.05,13.65,188975,254142011.0,95442,0.63,14.8,12.11,002758,浙农股份,13.45,13.45,6851955026.53,2669927844.0,45404228.0,49095910.0,-3691682.0,2944523.0,1615777.0,1328746.0,42459705.0,47480133.0,-5020428.0,91154156.0,88418406.0,2735750.0,111594124.0,110638193.0,955931.0,13.19,19.52,13.95,2.05,9.69,0.24,1.78,12.43,26550994886.35
2022-03-17,13.74,14.07,13.6,13.64,199028,275590368.0,98470,0.78,15.06,12.32,002758,浙农股份,13.69,13.85,6876980428.38,2679679224.0,50758211.0,63103899.0,-12345688.0,1354667.0,9307481.0,-7952814.0,49403544.0,53796418.0,-4392874.0,99953766.0,106423744.0,-6469978.0,118822073.0,100006407.0,18815666.0,13.23,19.59,14.0,2.06,10.21,0.05,0.37,12.43,26550994886.35
2022-03-18,13.87,14.19,13.68,13.78,152097,211536376.0,66677,0.63,15.11,12.37,002758,浙农股份,13.74,13.91,6942046473.19,2705032812.0,43493297.0,36479439.0,7013858.0,4552121.0,3389266.0,1162855.0,38941176.0,33090173.0,5851003.0,78328912.0,71307372.0,7021540.0,81645441.0,95680840.0,-14035399.0,13.36,19.77,14.13,2.08,7.8,0.13,0.95,12.43,26550994886.35
2022-03-21,15.26,15.26,14.52,14.52,212611,317004672.0,108521,1.01,15.26,12.48,002758,浙农股份,13.87,14.91,7637752644.62,2976121176.0,128284146.0,63355786.0,64928360.0,78853033.0,4220024.0,74633009.0,49431113.0,59135762.0,-9704649.0,86911885.0,116899024.0,-29987139.0,93931549.0,128872770.0,-34941221.0,14.7,21.75,15.55,2.29,10.9,1.39,10.02,12.43,26550994886.35
2022-03-22,15.47,16.48,14.78,15.98,474278,744421360.0,218800,2.4,16.79,13.73,002758,浙农股份,15.26,15.7,7742859332.39,3017076972.0,176060054.0,211798931.0,-35738877.0,51899922.0,61782330.0,-9882408.0,124160132.0,150016601.0,-25856469.0,264119495.0,253169636.0,10949859.0,286897264.0,262108239.0,24789025.0,14.9,22.05,15.77,2.32,24.32,0.21,1.38,12.43,26550994886.35
2022-03-23,14.66,15.3,14.58,15.15,258158,383921968.0,108367,1.05,17.02,13.92,002758,浙农股份,15.47,14.87,7337447822.42,2859104616.0,59262149.0,84969251.0,-25707102.0,8261677.0,16783991.0,-8522314.0,51000472.0,68185260.0,-17184788.0,138402975.0,142071373.0,-3668398.0,176059885.0,146684384.0,29375501.0,14.12,20.9,14.94,2.2,13.24,-0.81,-5.24,12.43,26550994886.35
2022-03-24,14.64,15.21,14.56,14.85,187375,278034960.0,88561,0.72,16.13,13.19,002758,浙农股份,14.66,14.84,7327437661.68,2855204064.0,47422956.0,52595415.0,-5172459.0,5555539.0,13950173.0,-8394634.0,41867417.0,38645242.0,3222175.0,103543203.0,105093829.0,-1550626.0,119696588.0,112973504.0,6723084.0,14.1,20.87,14.92,2.19,9.61,-0.02,-0.14,12.43,26550994886.35
