,最新,最高,最低,今开,总手,金额,外盘,量比,涨停,跌停,代码,名称,昨收,均价,总值,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,动态市盈率,静态市盈率,滚动市盈率,市净,换手,涨跌,涨幅,净资产收益率,总营收
2022-03-12,31.13,32.6,28.36,30.0,1248183,3793917728.0,639298,1.34,32.69,26.75,600199,金种子酒,29.72,30.4,20477215131.12,18879392141.829998,1557432272.0,1912762016.0,-355329744.0,502318512.0,780956080.0,-278637568.0,1055113760.0,1131805936.0,-76692176.0,1145563568.0,970417840.0,175145728.0,924615584.0,744431568.0,180184016.0,-106.47,295.03,678.66,7.43,20.58,1.41,4.74,-5.11,806657341.33
2022-03-14,28.61,31.77,28.61,30.5,951078,2841329408.0,410488,1.0,34.24,28.02,600199,金种子酒,31.13,29.87,18819567134.64,17351089276.51,1125551280.0,1437683328.0,-312132048.0,362421648.0,636157184.0,-273735536.0,763129632.0,801526144.0,-38396512.0,824126720.0,742577968.0,81548752.0,775599952.0,545016672.0,230583280.0,-97.85,271.15,623.73,6.83,15.68,-2.52,-8.1,-5.11,806657341.33
2022-03-15,30.1,31.3,27.58,27.8,1059009,3160724896.0,572910,1.06,31.47,25.75,600199,金种子酒,28.61,29.85,19799684402.4,18254728669.100002,1455162016.0,1453903728.0,1258288.0,579839648.0,567697504.0,12142144.0,875322368.0,886206224.0,-10883856.0,878272320.0,888520512.0,-10248192.0,731556720.0,722566816.0,8989904.0,-102.95,285.27,656.21,7.18,17.46,1.49,5.21,-5.11,806657341.33
2022-03-16,29.34,30.97,27.62,30.64,991079,2881799296.0,469103,0.96,33.11,27.09,600199,金种子酒,30.1,29.08,19299758816.16,17793811931.94,1084855632.0,1390426720.0,-305571088.0,340984352.0,613547920.0,-272563568.0,743871280.0,776878800.0,-33007520.0,886183680.0,804553520.0,81630160.0,849625264.0,625684336.0,223940928.0,-100.35,278.07,639.64,7.0,16.34,-0.76,-2.52,-5.11,806657341.33
2022-03-17,32.27,32.27,29.2,29.2,1135383,3530644800.0,575590,1.16,32.27,26.41,600199,金种子酒,29.34,31.1,21227103510.480003,19570767247.570004,1918890832.0,1582622544.0,336268288.0,949772016.0,574893696.0,374878320.0,969118816.0,1007728848.0,-38610032.0,877388192.0,1079826864.0,-202438672.0,698344640.0,832174256.0,-133829616.0,-110.37,305.84,703.52,7.7,18.72,2.93,9.99,-5.11,806657341.33
2022-03-18,31.05,32.87,30.37,32.18,895771,2802705056.0,383523,0.83,35.5,29.04,600199,金种子酒,32.27,31.29,20424591385.2,18830874590.55,943322006.0,1379642240.0,-436320234.0,235535910.0,601367808.0,-365831898.0,707786096.0,778274432.0,-70488336.0,916263584.0,735750256.0,180513328.0,856949072.0,601142160.0,255806912.0,-106.2,294.28,676.92,7.41,14.77,-1.22,-3.78,-5.11,806657341.33
2022-03-21,30.31,31.66,29.88,30.88,714998,2191164496.0,333381,0.71,34.16,27.95,600199,金种子酒,31.05,30.65,19937821735.44,18382087241.21,731101085.0,939187824.0,-208086739.0,147701373.0,320406352.0,-172704979.0,583399712.0,618781472.0,-35381760.0,760734048.0,688606960.0,72127088.0,643697056.0,507737392.0,135959664.0,-103.67,287.26,660.79,7.23,11.79,-0.74,-2.38,-5.11,806657341.33
2022-03-22,28.3,30.31,27.91,29.93,744178,2136096096.0,355550,0.78,33.34,27.28,600199,金种子酒,30.31,28.7,18615650119.2,17163083765.300001,675838551.0,920642640.0,-244804089.0,177888359.0,282504960.0,-104616601.0,497950192.0,638137680.0,-140187488.0,700277376.0,672272736.0,28004640.0,704064144.0,487264688.0,216799456.0,-96.79,268.21,616.97,6.75,12.27,-2.01,-6.63,-5.11,806657341.33
2022-03-23,28.5,29.28,27.9,28.3,595618,1698052192.0,296035,0.66,31.13,25.47,600199,金种子酒,28.3,28.51,18747209484.0,17284377643.5,523880889.0,680463130.0,-156582241.0,138952169.0,247452458.0,-108500289.0,384928720.0,433010672.0,-48081952.0,565155712.0,528736368.0,36419344.0,571713472.0,451550576.0,120162896.0,-97.48,270.11,621.33,6.8,9.82,0.2,0.71,-5.11,806657341.33
2022-03-24,26.76,28.03,26.6,27.8,660735,1793274656.0,313712,0.81,31.35,25.65,600199,金种子酒,28.5,27.14,17602643010.24,16229120903.160002,511271246.0,717773712.0,-206502466.0,111959630.0,279360912.0,-167401282.0,399311616.0,438412800.0,-39101184.0,589697008.0,567780656.0,21916352.0,645896128.0,461310016.0,184586112.0,-91.53,253.62,583.39,6.39,10.89,-1.74,-6.11,-5.11,806657341.33
2022-03-25,24.35,27.1,24.25,26.85,836972,2123826096.0,392679,1.16,29.44,24.08,600199,金种子酒,26.76,25.38,16017352664.400002,14767529670.85,641428394.0,971318608.0,-329890214.0,179707258.0,431462944.0,-251755686.0,461721136.0,539855664.0,-78134528.0,681552464.0,611786256.0,69766208.0,758942960.0,498818944.0,260124016.0,-83.28,230.78,530.85,5.81,13.8,-2.41,-9.01,-5.11,806657341.33
2022-03-28,23.79,24.0,22.92,23.61,560895,1316315232.0,300324,0.79,26.79,21.92,600199,金种子酒,24.35,23.47,15648986442.96,14427906811.89,413971573.0,418285745.0,-4314172.0,115139125.0,118022785.0,-2883660.0,298832448.0,300262960.0,-1430512.0,405226672.0,423100960.0,-17874288.0,441723744.0,419535280.0,22188464.0,-81.37,225.47,518.65,5.68,9.25,-0.56,-2.3,-5.11,806657341.33
2022-03-29,22.4,24.07,22.36,23.79,547367,1261257872.0,260923,0.81,26.17,21.41,600199,金种子酒,23.79,23.04,14734648857.599998,13584914358.4,314205974.0,461556802.0,-147350828.0,60981444.0,144242066.0,-83260622.0,253224530.0,317314736.0,-64090206.0,408117136.0,424794160.0,-16677024.0,511183216.0,347155360.0,164027856.0,-76.61,212.3,488.34,5.35,9.03,-1.39,-5.84,-5.11,806657341.33
2022-03-30,23.29,23.6,22.4,22.64,596539,1382243728.0,308933,0.93,24.64,20.16,600199,金种子酒,22.4,23.17,15320088030.96,14124672116.39,415842118.0,439702784.0,-23860666.0,82772118.0,120105632.0,-37333514.0,333070000.0,319597152.0,13472848.0,443366752.0,439093568.0,4273184.0,502833632.0,483246128.0,19587504.0,-79.66,220.73,507.74,5.56,9.84,0.89,3.97,-5.11,806657341.33
2022-03-31,24.59,25.17,22.71,23.03,888398,2130004992.0,463848,1.39,25.62,20.96,600199,金种子酒,23.29,23.98,16175223902.16,14913082324.69,756085268.0,692665652.0,63419616.0,208221172.0,154641092.0,53580080.0,547864096.0,538024560.0,9839536.0,665878240.0,702781392.0,-36903152.0,662715856.0,689232320.0,-26516464.0,-84.1,233.05,536.09,5.87,14.65,1.3,5.58,-5.11,806657341.33
2022-04-01,24.5,25.8,23.42,23.7,791248,1961531328.0,379834,1.15,27.05,22.13,600199,金种子酒,24.59,24.79,16116022188.0,14858500079.5,579419542.0,590731556.0,-11312014.0,139852310.0,136304676.0,3547634.0,439567232.0,454426880.0,-14859648.0,669250272.0,667955728.0,1294544.0,672522032.0,662504560.0,10017472.0,-83.8,232.2,534.12,5.85,13.05,-0.09,-0.37,-5.11,806657341.33
