,最新,最高,最低,今开,总手,金额,外盘,量比,涨停,跌停,代码,名称,昨收,均价,总值,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,动态市盈率,静态市盈率,滚动市盈率,市净,换手,涨跌,涨幅,净资产收益率,总营收
2022-03-12,11.49,11.92,10.94,11.28,1172645,1350666848.0,610644,0.82,12.35,10.11,000983,山西焦煤,11.23,11.52,47069474400.0,47069474400.0,526001173.0,499619560.0,26381613.0,158445493.0,139504600.0,18940893.0,367555680.0,360114960.0,7440720.0,437181600.0,413114704.0,24066896.0,367070288.0,417518800.0,-50448512.0,11.12,24.06,13.55,2.14,2.86,0.26,2.32,15.58,29692372072.65
2022-03-14,11.1,12.06,10.9,11.05,1314847,1511909024.0,663390,0.9,12.64,10.34,000983,山西焦煤,11.49,11.5,45471816000.0,45471816000.0,646946400.0,693514400.0,-46568000.0,236270880.0,274241024.0,-37970144.0,410675520.0,419273376.0,-8597856.0,430924464.0,440750080.0,-9825616.0,420494912.0,364101312.0,56393600.0,10.74,23.24,13.09,2.06,3.21,-0.39,-3.39,15.58,29692372072.65
2022-03-15,9.99,10.8,9.99,10.8,1392294,1425826096.0,702708,1.0,12.21,9.99,000983,山西焦煤,11.1,10.24,40924634400.0,40924634400.0,545717146.0,655561312.0,-109844166.0,175549450.0,301650144.0,-126100694.0,370167696.0,353911168.0,16256528.0,400800176.0,403807680.0,-3007504.0,448017760.0,335166080.0,112851680.0,9.67,20.92,11.78,1.86,3.4,-1.11,-10.0,15.58,29692372072.65
2022-03-16,10.16,10.23,9.54,10.11,1079151,1066518800.0,544899,0.81,10.99,8.99,000983,山西焦煤,9.99,9.88,41621049600.0,41621049600.0,407842411.0,360673233.0,47169178.0,105498459.0,118558514.0,-13060055.0,302343952.0,242114719.0,60229233.0,321712416.0,320162304.0,1550112.0,320175136.0,368894432.0,-48719296.0,9.83,21.28,11.98,1.89,2.63,0.17,1.7,15.58,29692372072.65
2022-03-17,10.48,10.66,9.8,10.25,1044969,1071791472.0,525899,0.86,11.18,9.14,000983,山西焦煤,10.16,10.26,42931948800.0,42931948800.0,432096686.0,359779240.0,72317446.0,163346446.0,118342778.0,45003668.0,268750240.0,241436462.0,27313778.0,303096960.0,349412656.0,-46315696.0,325460048.0,351461808.0,-26001760.0,10.14,21.95,12.36,1.95,2.55,0.32,3.15,15.58,29692372072.65
2022-03-18,11.07,11.15,10.56,10.8,1124650,1224872864.0,580086,0.94,11.53,9.43,000983,山西焦煤,10.48,10.89,45348919200.0,45348919200.0,541761522.0,438043519.0,103718003.0,200277266.0,149279151.0,50998115.0,341484256.0,288764368.0,52719888.0,355429344.0,370364624.0,-14935280.0,293269248.0,382051968.0,-88782720.0,10.71,23.18,13.06,2.06,2.75,0.59,5.63,15.58,29692372072.65
2022-03-21,11.69,11.88,10.98,11.08,1286928,1485019216.0,682617,1.08,12.18,9.96,000983,山西焦煤,11.07,11.54,47888786400.0,47888786400.0,680359866.0,623075968.0,57283898.0,242439354.0,284809040.0,-42369686.0,437920512.0,338266928.0,99653584.0,422031728.0,428739072.0,-6707344.0,359632400.0,410208944.0,-50576544.0,11.32,24.48,13.79,2.17,3.14,0.62,5.6,15.58,29692372072.65
2022-03-22,12.73,12.86,11.6,11.69,1440260,1774696832.0,821342,1.21,12.86,10.52,000983,山西焦煤,11.69,12.32,52149208800.0,52149208800.0,989488304.0,774612800.0,214875504.0,312021136.0,336544992.0,-24523856.0,677467168.0,438067808.0,239399360.0,410037808.0,498486816.0,-88449008.0,341208496.0,467635008.0,-126426512.0,12.32,26.66,15.02,2.37,3.52,1.04,8.9,15.58,29692372072.65
2022-03-23,12.51,12.68,12.1,12.5,1152072,1430352304.0,522735,0.96,14.0,11.46,000983,山西焦煤,12.73,12.42,51247965600.0,51247965600.0,578189271.0,633223032.0,-55033761.0,209993799.0,263049128.0,-53055329.0,368195472.0,370173904.0,-1978432.0,456452912.0,363498528.0,92954384.0,375912544.0,413833184.0,-37920640.0,12.11,26.2,14.76,2.33,2.81,-0.22,-1.73,15.58,29692372072.65
2022-03-24,12.77,13.21,12.62,12.63,1121137,1442277776.0,557151,0.93,13.76,11.26,000983,山西焦煤,12.51,12.86,52313071200.0,52313071200.0,693657328.0,611836202.0,81821126.0,294155344.0,267127242.0,27028102.0,399501984.0,344708960.0,54793024.0,388650288.0,411576128.0,-22925840.0,342650592.0,401545904.0,-58895312.0,12.36,26.74,15.06,2.37,2.74,0.26,2.08,15.58,29692372072.65
2022-03-25,12.78,13.09,12.45,12.68,725718,924675440.0,353187,0.59,14.05,11.49,000983,山西焦煤,12.77,12.74,52354036800.0,52354036800.0,324519020.0,356928211.0,-32409191.0,90281038.0,117485057.0,-27204019.0,234237982.0,239443154.0,-5205172.0,285552336.0,257487166.0,28065170.0,293433152.0,289089120.0,4344032.0,12.37,26.76,15.07,2.38,1.77,0.01,0.08,15.58,29692372072.65
