,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,996.23,998.53,959.46,975.03,2587069,1034153824.0,1227696,BK1016,汽车服务,984.39,8,3,3,94944207000.0,315167392.0,261740474.0,53426918.0,113446239.0,50334604.0,63111635.0,201721153.0,211405870.0,-9684717.0,294030848.0,346291600.0,-52260752.0,407983024.0,409149200.0,-1166176.0,1359372,0.95,11.84,1.2,3.97
2022-03-14,972.16,996.85,972.16,996.51,2767129,1243009200.0,1190664,BK1016,汽车服务,996.23,0,13,1,92551669000.0,238472291.0,311675819.0,-73203528.0,33198303.0,66217788.0,-33019485.0,205273988.0,245458031.0,-40184043.0,400682688.0,361536032.0,39146656.0,561524656.0,527467776.0,34056880.0,1576465,1.02,-24.07,-2.42,2.48
2022-03-15,928.46,968.31,927.37,968.06,4088024,1591969344.0,1386022,BK1016,汽车服务,972.16,1,13,0,88027852000.0,407270136.0,460764837.0,-53494701.0,125767336.0,180123525.0,-54356189.0,281502800.0,280641312.0,861488.0,473227664.0,463416768.0,9810896.0,672878000.0,629194192.0,43683808.0,2702002,1.5,-43.7,-4.5,4.21
2022-03-16,963.82,965.86,913.83,942.17,3925188,1622415424.0,2031242,BK1016,汽车服务,928.46,14,0,0,91465792000.0,379976720.0,417779950.0,-37803230.0,82729376.0,96150302.0,-13420926.0,297247344.0,321629648.0,-24382304.0,535585632.0,518592976.0,16992656.0,674734544.0,653923952.0,20810592.0,1893946,1.44,35.36,3.81,5.6
2022-03-17,966.95,981.66,966.04,969.94,3378997,1374820960.0,1554590,BK1016,汽车服务,963.82,8,4,2,92063207000.0,280841878.0,326278795.0,-45436917.0,33146837.0,47316955.0,-14170118.0,247695041.0,278961840.0,-31266799.0,463365584.0,446097376.0,17268208.0,595844320.0,567675616.0,28168704.0,1824407,1.24,3.13,0.32,1.62
2022-03-18,986.99,991.14,962.17,963.37,3064199,1230376656.0,1761279,BK1016,汽车服务,966.95,14,0,0,93948940000.0,426861912.0,406993607.0,19868305.0,185688243.0,159368264.0,26319979.0,241173669.0,247625343.0,-6451674.0,340769888.0,366948320.0,-26178432.0,441986800.0,435676688.0,6310112.0,1302919,1.12,20.04,2.07,3.0
2022-03-21,995.62,999.79,985.65,993.51,3072625,1634346928.0,1190902,BK1016,汽车服务,986.98,6,6,2,94698847000.0,664117904.0,708493376.0,-44375472.0,305050464.0,377805280.0,-72754816.0,359067440.0,330688096.0,28379344.0,438017424.0,409783472.0,28233952.0,457729680.0,441588160.0,16141520.0,1881723,1.13,8.64,0.88,1.43
2022-03-22,1019.62,1026.36,992.51,995.19,3536076,1890832992.0,1928734,BK1016,汽车服务,995.61,11,2,1,97102446000.0,730033840.0,616376180.0,113657660.0,322455824.0,187379796.0,135076028.0,407578016.0,428996384.0,-21418368.0,539356272.0,615742496.0,-76386224.0,568250848.0,605522288.0,-37271440.0,1607342,1.3,24.01,2.41,3.4
2022-03-23,1029.29,1037.09,1023.46,1023.77,2798954,1632676624.0,1362302,BK1016,汽车服务,1019.62,10,4,0,98383831000.0,553765322.0,513828108.0,39937214.0,221137786.0,152291852.0,68845934.0,332627536.0,361536256.0,-28908720.0,500561216.0,534548416.0,-33987200.0,514174160.0,520124160.0,-5950000.0,1436652,1.03,9.67,0.95,1.34
2022-03-24,1009.62,1025.54,1007.82,1024.69,3079067,2053462304.0,1283373,BK1016,汽车服务,1029.29,1,13,0,96392229000.0,541161041.0,714648889.0,-173487848.0,88531553.0,192900697.0,-104369144.0,452629488.0,521748192.0,-69118704.0,701779552.0,653281664.0,48497888.0,728350768.0,603360800.0,124989968.0,1795695,1.13,-19.67,-1.91,1.72
