,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,20025.48,20027.56,19381.8,19712.87,15254357,17881688064.0,7604182,BK0457,电网设备,19934.13,75,44,3,981179136000.0,4787814784.0,4929120288.0,-141305504.0,1287514768.0,1216785696.0,70729072.0,3500300016.0,3712334592.0,-212034576.0,5732503040.0,6065763584.0,-333260544.0,7010997248.0,6536431360.0,474565888.0,7650176,1.9,91.35,0.46,3.24
2022-03-14,19435.33,19929.25,19435.33,19927.66,13681090,15485914880.0,5843745,BK0457,电网设备,20025.48,10,111,1,952241536000.0,3275673696.0,4199555600.0,-923881904.0,682697344.0,1066828960.0,-384131616.0,2592976352.0,3132726640.0,-539750288.0,5097660672.0,4974068224.0,123592448.0,6771490560.0,5971201024.0,800289536.0,7837344,1.71,-590.15,-2.95,2.47
2022-03-15,18311.03,19343.25,18311.03,19343.25,16396601,17582887424.0,6819153,BK0457,电网设备,19435.33,6,116,0,901121248000.0,3573560896.0,4995791456.0,-1422230560.0,728384000.0,1282508000.0,-554124000.0,2845176896.0,3713283456.0,-868106560.0,5861893376.0,5702684416.0,159208960.0,7830988544.0,6567966720.0,1263021824.0,9577449,2.04,-1124.3,-5.78,5.31
2022-03-16,18849.52,18894.29,17943.41,18582.39,17891367,20717158656.0,9474329,BK0457,电网设备,18311.03,110,12,0,913605376000.0,5450432320.0,5892450944.0,-442018624.0,1457864976.0,1431941504.0,25923472.0,3992567344.0,4460509440.0,-467942096.0,6824009984.0,7040170240.0,-216160256.0,8125016320.0,7466837248.0,658179072.0,8417038,2.23,538.49,2.94,5.19
2022-03-17,19165.03,19507.65,19043.64,19043.64,16995650,19624293888.0,8416239,BK0457,电网设备,18849.52,98,20,4,927321408000.0,4980565424.0,5407015472.0,-426450048.0,1198860240.0,1263387456.0,-64527216.0,3781705184.0,4143628016.0,-361922832.0,6495727872.0,6565229824.0,-69501952.0,7774096640.0,7278144512.0,495952128.0,8579412,2.12,315.51,1.67,2.46
2022-03-18,19319.64,19353.57,19041.33,19114.58,11598060,12576455936.0,5830422,BK0457,电网设备,19165.03,95,27,1,926220144000.0,2624082112.0,3002687984.0,-378605872.0,500864176.0,610673376.0,-109809200.0,2123217936.0,2392014608.0,-268796672.0,4185424736.0,4132787408.0,52637328.0,5372177664.0,5046209024.0,325968640.0,5767638,1.44,154.61,0.81,1.63
2022-03-21,19571.66,19654.36,19334.72,19354.56,12426268,13382654208.0,5806085,BK0457,电网设备,19319.64,88,29,6,936120128000.0,3259879664.0,3307477776.0,-47598112.0,836013792.0,700574496.0,135439296.0,2423865872.0,2606903280.0,-183037408.0,4436107264.0,4550372352.0,-114265088.0,5359111424.0,5197248256.0,161863168.0,6620183,1.55,252.02,1.3,1.65
2022-03-22,19481.34,19646.89,19399.92,19622.71,12231440,12730341376.0,5349643,BK0457,电网设备,19571.66,38,70,15,926446352000.0,2662386080.0,3139817296.0,-477431216.0,611352928.0,754185488.0,-142832560.0,2051033152.0,2385631808.0,-334598656.0,4279565872.0,4076654096.0,202911776.0,5343174400.0,5068654848.0,274519552.0,6881797,1.52,-90.32,-0.46,1.26
2022-03-23,19865.36,19988.27,19564.05,19604.47,16345375,18170820096.0,8153197,BK0457,电网设备,19481.34,93,24,6,950213504000.0,5251877232.0,4392286416.0,859590816.0,1576597200.0,1116126240.0,460470960.0,3675280032.0,3276160176.0,399119856.0,6163589120.0,6141160704.0,22428416.0,6439154176.0,7321173248.0,-882019072.0,8192178,2.04,384.02,1.97,2.18
2022-03-24,19496.17,19729.89,19463.41,19728.02,15352772,15910498304.0,6410108,BK0457,电网设备,19865.36,16,105,2,935213152000.0,3479574096.0,4298753680.0,-819179584.0,820629008.0,1100732896.0,-280103888.0,2658945088.0,3198020784.0,-539075696.0,5362306816.0,5358017536.0,4289280.0,6675675904.0,5860785408.0,814890496.0,8942664,1.91,-369.19,-1.86,1.34
2022-03-25,19333.1,19570.69,19320.72,19502.21,12179086,13822416896.0,5262346,BK0457,电网设备,19496.17,22,94,8,913012784000.0,3030469536.0,3918145200.0,-887675664.0,632779888.0,1136925392.0,-504145504.0,2397689648.0,2781219808.0,-383530160.0,4494077952.0,4481080064.0,12997888.0,5698720256.0,4824042240.0,874678016.0,6916740,1.52,-163.07,-0.84,1.28
2022-03-28,19134.51,19313.18,18924.11,19193.77,12283543,13746632448.0,5968190,BK0457,电网设备,19333.1,29,89,6,906552416000.0,3004978944.0,3347241456.0,-342262512.0,702322160.0,667659792.0,34662368.0,2302656784.0,2679581664.0,-376924880.0,4540673536.0,4609510656.0,-68837120.0,5801272320.0,5390172672.0,411099648.0,6315352,1.53,-198.59,-1.03,2.01
