,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,913.69,915.9,881.99,886.19,10192326,7119538432.0,5340540,BK1046,游戏,901.2,28,8,1,302931616000.0,2139339760.0,2017599776.0,121739984.0,514666368.0,326472016.0,188194352.0,1624673392.0,1691127760.0,-66454368.0,2483377920.0,2584819536.0,-101441616.0,2375513856.0,2395812240.0,-20298384.0,4851786,2.32,12.49,1.39,3.76
2022-03-14,894.13,912.73,894.1,904.31,8375670,5885007616.0,3600799,BK1046,游戏,913.69,4,32,1,296131408000.0,1408327052.0,1821549472.0,-413222420.0,183148908.0,369328640.0,-186179732.0,1225178144.0,1452220832.0,-227042688.0,2142042640.0,2036992352.0,105050288.0,2199317824.0,1891145680.0,308172144.0,4774871,1.91,-19.56,-2.14,2.04
2022-03-15,846.75,889.58,846.75,889.58,10440958,6761684736.0,4296751,BK1046,游戏,894.13,0,37,0,278908176000.0,1437806720.0,1986930336.0,-549123616.0,156210208.0,377838288.0,-221628080.0,1281596512.0,1609092048.0,-327495536.0,2460951424.0,2442124592.0,18826832.0,2744376448.0,2214079664.0,530296784.0,6144207,2.38,-47.38,-5.3,4.79
2022-03-16,874.32,875.67,832.13,858.13,11318710,7346714880.0,6144030,BK1046,游戏,846.75,32,4,1,288927152000.0,2108846512.0,2109695440.0,-848928.0,386634240.0,384167408.0,2466832.0,1722212272.0,1725528032.0,-3315760.0,2560435888.0,2601605008.0,-41169120.0,2565399552.0,2523381504.0,42018048.0,5174679,2.58,27.57,3.26,5.14
2022-03-17,903.29,915.03,882.5,882.5,12700058,9757089536.0,6513372,BK1046,游戏,874.32,31,6,0,303782896000.0,3593099152.0,3075325632.0,517773520.0,1250264880.0,729581408.0,520683472.0,2342834272.0,2345744224.0,-2909952.0,3140271968.0,3452178880.0,-311906912.0,2863758640.0,3069625232.0,-205866592.0,6186686,2.89,28.97,3.31,3.72
2022-03-18,909.91,911.87,895.11,896.85,9664180,7769204992.0,4671527,BK1046,游戏,903.29,21,14,2,305693248000.0,2275534976.0,2472417888.0,-196882912.0,536167376.0,598750560.0,-62583184.0,1739367600.0,1873667328.0,-134299728.0,2645754224.0,2651068192.0,-5313968.0,2651663952.0,2449467072.0,202196880.0,4992653,2.2,6.62,0.73,1.86
2022-03-21,914.79,920.48,904.12,910.79,8946320,6824630272.0,4043050,BK1046,游戏,909.91,21,13,3,306977472000.0,1928691296.0,2210869760.0,-282178464.0,378974064.0,508915328.0,-129941264.0,1549717232.0,1701954432.0,-152237200.0,2325635808.0,2271255856.0,54379952.0,2430944736.0,2203146208.0,227798528.0,4903269,2.04,4.88,0.54,1.8
2022-03-22,917.74,921.85,900.27,910.58,9900344,7427637760.0,4854041,BK1046,游戏,914.79,24,11,2,308938752000.0,2206486032.0,2130495280.0,75990752.0,523484272.0,365411744.0,158072528.0,1683001760.0,1765083536.0,-82081776.0,2607897328.0,2610760544.0,-2863216.0,2465984560.0,2539112096.0,-73127536.0,5046303,2.26,2.95,0.32,2.36
2022-03-23,914.95,923.56,907.92,912.22,9468871,7513819648.0,4711942,BK1046,游戏,917.74,17,19,1,311556784000.0,2349624944.0,2295864224.0,53760720.0,487813152.0,522649936.0,-34836784.0,1861811792.0,1773214288.0,88597504.0,2680046992.0,2657917632.0,22129360.0,2352245024.0,2428135120.0,-75890096.0,4756928,2.16,-2.79,-0.3,1.7
2022-03-24,890.36,905.32,889.63,905.32,7311952,5633360640.0,2908851,BK1046,游戏,914.95,1,36,0,304232688000.0,1381916925.0,1926229712.0,-544312787.0,252165501.0,584774384.0,-332608883.0,1129751424.0,1341455328.0,-211703904.0,1878092208.0,1908930240.0,-30838032.0,2267127280.0,1691976448.0,575150832.0,4403102,1.67,-24.59,-2.69,1.71
2022-03-25,893.55,905.56,887.24,888.33,8463260,7080108288.0,4513395,BK1046,游戏,890.36,18,17,2,304826496000.0,2168025440.0,2047459360.0,120566080.0,536233568.0,409521728.0,126711840.0,1631791872.0,1637937632.0,-6145760.0,2526180032.0,2562443616.0,-36263584.0,2281969664.0,2366272160.0,-84302496.0,3949865,1.93,3.19,0.36,2.06
2022-03-28,900.85,908.49,886.97,890.43,10864847,8906888704.0,5728064,BK1046,游戏,893.55,25,10,2,309070672000.0,2543350768.0,2742638544.0,-199287776.0,520445024.0,624592448.0,-104147424.0,2022905744.0,2118046096.0,-95140352.0,3260549728.0,3119098784.0,141450944.0,2944727648.0,2886890832.0,57836816.0,5136783,2.48,7.3,0.82,2.41
2022-03-29,892.52,903.62,888.87,900.18,7778394,6243528960.0,3368460,BK1046,游戏,900.85,8,26,3,305407088000.0,1528002265.0,1809382480.0,-281380215.0,234076793.0,305654704.0,-71577911.0,1293925472.0,1503727776.0,-209802304.0,2252240048.0,2247015152.0,5224896.0,2346866768.0,2070711440.0,276155328.0,4409934,1.77,-8.33,-0.92,1.64
2022-03-30,902.77,902.77,887.46,892.19,7646699,6829729536.0,3895598,BK1046,游戏,892.52,29,6,2,310364880000.0,1989485728.0,2074631392.0,-85145664.0,358764608.0,393063024.0,-34298416.0,1630721120.0,1681568368.0,-50847248.0,2409191792.0,2417250080.0,-8058288.0,2309583840.0,2216379872.0,93203968.0,3751100,1.74,10.25,1.15,1.72
2022-03-31,896.53,907.53,892.36,897.46,8337950,6696623104.0,3958865,BK1046,游戏,902.77,13,19,5,309947760000.0,1802469888.0,2128320432.0,-325850544.0,336250128.0,498165248.0,-161915120.0,1466219760.0,1630155184.0,-163935424.0,2427563264.0,2342846528.0,84716736.0,2358022320.0,2116888496.0,241133824.0,4379085,1.9,-6.24,-0.69,1.68
2022-04-01,924.87,926.2,885.67,891.78,14118969,11576542976.0,8142659,BK1046,游戏,896.53,32,3,2,321513072000.0,4019366320.0,3226633872.0,792732448.0,1144766560.0,602607536.0,542159024.0,2874599760.0,2624026336.0,250573424.0,4101810832.0,4097469136.0,4341696.0,3286142112.0,4083216256.0,-797074144.0,5976310,3.22,28.34,3.16,4.52
2022-04-06,939.75,942.09,922.26,922.94,12585575,9937395968.0,6318641,BK1046,游戏,924.87,26,8,3,323378960000.0,2593101728.0,3266762880.0,-673661152.0,465017712.0,723477024.0,-258459312.0,2128084016.0,2543285856.0,-415201840.0,3666134096.0,3451870928.0,214263168.0,3472994224.0,3013596256.0,459397968.0,6266935,2.87,14.88,1.61,2.14
2022-04-07,922.91,946.17,922.91,936.02,10790621,8761810432.0,4810684,BK1046,游戏,939.75,8,27,2,316374832000.0,2336009232.0,2649196144.0,-313186912.0,385469328.0,510794496.0,-125325168.0,1950539904.0,2138401648.0,-187861744.0,3173272688.0,3095543232.0,77729456.0,3078609664.0,2843152208.0,235457456.0,5979937,2.46,-16.84,-1.79,2.48
2022-04-08,903.13,924.42,898.54,923.99,9999571,8203920896.0,4239120,BK1046,游戏,922.91,6,28,3,307870384000.0,2003679392.0,2701957632.0,-698278240.0,369678320.0,632045792.0,-262367472.0,1634001072.0,2069911840.0,-435910768.0,2818644608.0,2928688752.0,-110044144.0,3242877376.0,2434555008.0,808322368.0,5760451,2.28,-19.78,-2.14,2.8
