,最新,最高,最低,今开,总手,金额,外盘,量比,涨停,跌停,代码,名称,昨收,均价,总值,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,动态市盈率,静态市盈率,滚动市盈率,市净,换手,涨跌,涨幅,净资产收益率,总营收
2022-03-12,12.74,12.97,11.51,11.85,790824,974943248.0,396935,1.48,13.44,11.0,002197,证通电子,12.22,12.33,7826983702.72,5542786474.68,264076102.0,263319185.0,756917.0,97886651.0,100468519.0,-2581868.0,166189451.0,162850666.0,3338785.0,315659808.0,335241680.0,-19581872.0,378231248.0,359406288.0,18824960.0,296.41,430.84,330.55,2.59,18.18,0.52,4.26,0.82,787062005.72
2022-03-14,12.76,13.46,12.35,12.48,739709,952437296.0,394490,1.29,14.01,11.47,002197,证通电子,12.74,12.88,7839270961.28,5551487866.32,210830614.0,267966485.0,-57135871.0,41176084.0,90573359.0,-49397275.0,169654530.0,177393126.0,-7738596.0,351550912.0,330464224.0,21086688.0,373256480.0,337207280.0,36049200.0,296.87,431.52,331.07,2.59,17.0,0.02,0.16,0.82,787062005.72
2022-03-15,11.72,12.85,11.7,12.46,577508,710006272.0,224974,0.88,14.04,11.48,002197,证通电子,12.76,12.29,7200333516.160001,5099015501.04,111785046.0,194577621.0,-82792575.0,11165433.0,44469237.0,-33303804.0,100619613.0,150108384.0,-49488771.0,248054340.0,278646944.0,-30592604.0,339641744.0,226256567.0,113385177.0,272.68,396.35,304.09,2.38,13.27,-1.04,-8.15,0.82,787062005.72
2022-03-16,12.02,12.12,11.2,11.88,517313,605211824.0,259301,0.77,12.89,10.55,002197,证通电子,11.72,11.7,7384642394.559999,5229536375.639999,149851512.0,130359475.0,19492037.0,18487897.0,17505784.0,982113.0,131363615.0,112853691.0,18509924.0,210400301.0,223353464.0,-12953163.0,233581654.0,240120527.0,-6538873.0,279.65,406.49,311.87,2.44,11.89,0.3,2.56,0.82,787062005.72
2022-03-17,12.54,12.86,11.84,11.97,735970,903003152.0,395899,1.13,13.22,10.82,002197,证通电子,12.02,12.27,7704111117.12,5455772558.28,224426511.0,227302328.0,-2875817.0,42242736.0,39341051.0,2901685.0,182183775.0,187961277.0,-5777502.0,324646048.0,319167216.0,5478832.0,340514896.0,343117904.0,-2603008.0,291.75,424.08,325.36,2.55,16.92,0.52,4.33,0.82,787062005.72
2022-03-18,12.16,12.46,12.03,12.2,430391,524390096.0,171656,0.64,13.79,11.29,002197,证通电子,12.54,12.18,7470653204.4800005,5290446117.12,121473182.0,133288477.0,-11815295.0,25596494.0,25816123.0,-219629.0,95876688.0,107472354.0,-11595666.0,167479811.0,198078640.0,-30598829.0,221804283.0,179390160.0,42414123.0,282.91,411.23,315.5,2.47,9.89,-0.38,-3.03,0.82,787062005.72
2022-03-21,11.96,12.3,11.83,12.16,350554,422186176.0,147466,0.58,13.38,10.94,002197,证通电子,12.16,12.04,7347780618.88,5203432200.72,80209663.0,123829945.0,-43620282.0,18926990.0,25961995.0,-7035005.0,61282673.0,97867950.0,-36585277.0,147551150.0,148549480.0,-998330.0,184731447.0,140112834.0,44618613.0,278.26,404.46,310.31,2.43,8.06,-0.2,-1.64,0.82,787062005.72
2022-03-22,12.29,12.46,11.75,11.84,527282,646905536.0,297489,1.01,13.16,10.76,002197,证通电子,11.96,12.27,7550520385.12,5347005162.78,194944783.0,168645765.0,26299018.0,55000529.0,36385156.0,18615373.0,139944254.0,132260609.0,7683645.0,220482225.0,220079897.0,402328.0,221456137.0,248157483.0,-26701346.0,285.94,415.62,318.87,2.5,12.12,0.33,2.76,0.82,787062005.72
2022-03-23,12.1,12.45,12.0,12.26,432482,528224464.0,204361,0.84,13.52,11.06,002197,证通电子,12.29,12.21,7433791428.8,5264341942.2,115230032.0,147599184.0,-32369152.0,22498073.0,41377140.0,-18879067.0,92731959.0,106222044.0,-13490085.0,188167272.0,192045713.0,-3878441.0,216471907.0,180224314.0,36247593.0,281.52,409.2,313.95,2.46,9.94,-0.19,-1.55,0.82,787062005.72
2022-03-24,11.44,11.91,11.37,11.9,420347,485783072.0,149345,0.85,13.31,10.89,002197,证通电子,12.1,11.56,7028311896.32,4977196018.08,106093278.0,150202288.0,-44109010.0,16957480.0,31070282.0,-14112802.0,89135798.0,119132006.0,-29996208.0,148574391.0,188050180.0,-39475789.0,223905812.0,140321012.0,83584800.0,266.16,386.88,296.82,2.32,9.66,-0.66,-5.45,0.82,787062005.72
2022-03-25,11.08,11.85,11.07,11.68,360266,414577456.0,155357,0.83,12.58,10.3,002197,证通电子,11.44,11.51,6807141242.24,4820570968.56,75947067.0,141809495.0,-65862428.0,11968195.0,35258931.0,-23290736.0,63978872.0,106550564.0,-42571692.0,139118263.0,134770410.0,4347853.0,184952966.0,123438391.0,61514575.0,257.79,374.7,287.48,2.25,8.28,-0.36,-3.15,0.82,787062005.72
2022-03-28,10.8,11.06,10.64,10.74,283987,307888976.0,145350,0.68,12.19,9.97,002197,证通电子,11.08,10.84,6635119622.400001,4698751485.6,59645697.0,90017907.0,-30372210.0,6866275.0,20428546.0,-13562271.0,52779422.0,69589361.0,-16809939.0,109651759.0,109539713.0,112046.0,131251632.0,100991468.0,30260164.0,251.27,365.24,280.22,2.19,6.53,-0.28,-2.53,0.82,787062005.72
2022-03-29,10.61,10.93,10.4,10.91,330405,351330688.0,155017,0.82,11.88,9.72,002197,证通电子,10.8,10.63,6518390666.08,4616088265.0199995,65024918.0,88440125.0,-23415207.0,9041445.0,19307636.0,-10266191.0,55983473.0,69132489.0,-13149016.0,116902103.0,130507107.0,-13605004.0,166739248.0,129719035.0,37020213.0,246.85,358.81,275.29,2.16,7.59,-0.19,-1.76,0.82,787062005.72
2022-03-30,10.66,10.73,10.37,10.62,300894,317724768.0,147706,0.82,11.67,9.55,002197,证通电子,10.61,10.56,6549108812.4800005,4637841744.12,72423902.0,69223233.0,3200669.0,12356199.0,8048912.0,4307287.0,60067703.0,61174321.0,-1106618.0,110646651.0,115010364.0,-4363713.0,130262989.0,129099945.0,1163044.0,248.01,360.5,276.58,2.17,6.92,0.05,0.47,0.82,787062005.72
2022-03-31,11.28,11.62,10.56,10.69,585666,649905584.0,319548,1.73,11.73,9.59,002197,证通电子,10.66,11.1,6930013827.839999,4907584884.96,171121183.0,159437599.0,11683584.0,22598819.0,26631685.0,-4032866.0,148522364.0,132805914.0,15716450.0,231015991.0,226118586.0,4897405.0,240887229.0,257468220.0,-16580991.0,262.44,381.47,292.67,2.29,13.46,0.62,5.82,0.82,787062005.72
2022-04-01,11.01,11.46,11.01,11.29,417588,467521856.0,181986,1.12,12.41,10.15,002197,证通电子,11.28,11.2,6764135837.28,4790116097.82,92167626.0,122259647.0,-30092021.0,10988585.0,20821954.0,-9833369.0,81179041.0,101437693.0,-20258652.0,157286716.0,173896912.0,-16610196.0,205407322.0,158705105.0,46702217.0,256.16,372.34,285.66,2.24,9.6,-0.27,-2.39,0.82,787062005.72
2022-04-06,12.11,12.11,11.06,11.06,403734,471891008.0,219229,1.05,12.11,9.91,002197,证通电子,11.01,11.69,7439935058.08,5268692638.0199995,276250597.0,108449322.0,167801275.0,182114344.0,19376233.0,162738111.0,94136253.0,89073089.0,5063164.0,101338325.0,166929963.0,-65591638.0,91444153.0,193653789.0,-102209636.0,281.75,409.54,314.2,2.46,9.28,1.1,9.99,0.82,787062005.72
2022-04-07,12.25,13.0,12.14,12.33,958469,1202138288.0,475536,2.35,13.32,10.9,002197,证通电子,12.11,12.54,7525945868.0,5329602379.5,303669308.0,394684520.0,-91015212.0,71881130.0,111321784.0,-39440654.0,231788178.0,283362736.0,-51574558.0,405683792.0,390893728.0,14790064.0,449957184.0,373732048.0,76225136.0,285.01,414.27,317.84,2.49,22.03,0.14,1.16,0.82,787062005.72
2022-04-08,12.55,12.8,11.81,12.21,814171,1006845904.0,430230,1.53,13.48,11.03,002197,证通电子,12.25,12.37,7710254746.400001,5460123254.1,249996029.0,271818966.0,-21822937.0,57554657.0,57440434.0,114223.0,192441372.0,214378532.0,-21937160.0,364548272.0,348058320.0,16489952.0,370190848.0,364857856.0,5332992.0,291.99,424.42,325.62,2.55,18.71,0.3,2.45,0.82,787062005.72
