,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,1360.47,1364.05,1319.39,1323.03,4470649,15351386112.0,2149318,BK0727,医疗服务,1342.16,23,14,2,853022480000.0,4808080656.0,5015622128.0,-207541472.0,1209123648.0,1386491360.0,-177367712.0,3598957008.0,3629130768.0,-30173760.0,5473118720.0,5375767808.0,97350912.0,4750491392.0,4640300800.0,110190592.0,2321331,1.84,18.31,1.36,3.33
2022-03-14,1340.51,1369.47,1340.51,1365.35,4696041,14793882112.0,2097627,BK0727,医疗服务,1360.47,9,28,2,827301024000.0,4354931824.0,4955587920.0,-600656096.0,1137321920.0,1398272512.0,-260950592.0,3217609904.0,3557315408.0,-339705504.0,5158408192.0,5259944960.0,-101536768.0,4964980224.0,4262787216.0,702193008.0,2598414,1.94,-19.96,-1.47,2.13
2022-03-15,1269.39,1331.37,1269.39,1319.13,6263162,18995823872.0,3022554,BK0727,医疗服务,1340.51,4,33,2,784062000000.0,6035990816.0,7856001008.0,-1820010192.0,1568036640.0,2957099504.0,-1389062864.0,4467954176.0,4898901504.0,-430947328.0,6512608512.0,5963592960.0,549015552.0,6224071680.0,4953076992.0,1270994688.0,3240608,2.58,-71.12,-5.31,4.62
2022-03-16,1270.93,1288.26,1217.02,1282.4,6573934,20613517312.0,3522473,BK0727,医疗服务,1269.39,21,14,4,815944912000.0,7289215584.0,7106909008.0,182306576.0,2615469664.0,2154056784.0,461412880.0,4673745920.0,4952852224.0,-279106304.0,7099029248.0,7112664832.0,-13635584.0,5838849024.0,6007520000.0,-168670976.0,3051461,2.71,1.54,0.12,5.61
2022-03-17,1317.86,1340.21,1277.74,1277.74,6037284,21416303616.0,3195783,BK0727,医疗服务,1270.93,32,4,3,853332240000.0,8732257312.0,7479137360.0,1253119952.0,3188336928.0,2320117584.0,868219344.0,5543920384.0,5159019776.0,384900608.0,6792740864.0,7350966272.0,-558225408.0,5532324608.0,6227219200.0,-694894592.0,2841501,2.48,46.93,3.69,4.92
2022-03-18,1328.48,1331.89,1307.71,1312.63,4061459,13467076352.0,2006650,BK0727,医疗服务,1317.86,22,15,2,841047152000.0,3357232192.0,3850989776.0,-493757584.0,750758928.0,1024115312.0,-273356384.0,2606473264.0,2826874464.0,-220401200.0,4599166720.0,4442661632.0,156505088.0,4213899008.0,3876646496.0,337252512.0,2054809,1.67,10.62,0.81,1.83
2022-03-21,1362.14,1364.02,1334.11,1334.11,3931200,12168256768.0,1881095,BK0727,医疗服务,1328.48,26,11,2,849166784000.0,3786353472.0,3718453472.0,67900000.0,1114439136.0,990100256.0,124338880.0,2671914336.0,2728353216.0,-56438880.0,4290750736.0,4332724224.0,-41973488.0,3855534656.0,3881461248.0,-25926592.0,2050105,1.62,33.66,2.53,2.25
2022-03-22,1338.46,1359.72,1333.07,1359.72,3234950,10001933312.0,1433248,BK0727,医疗服务,1362.14,10,28,1,832749712000.0,2592854320.0,3170632320.0,-577778000.0,560930096.0,959857136.0,-398927040.0,2031924224.0,2210775184.0,-178850960.0,3522497824.0,3502976944.0,19520880.0,3682985792.0,3124728656.0,558257136.0,1801701,1.33,-23.68,-1.74,1.96
2022-03-23,1363.87,1374.11,1331.38,1339.91,4502575,16316194048.0,2271149,BK0727,医疗服务,1338.45,26,13,0,880296416000.0,5787990464.0,4945812192.0,842178272.0,1884009152.0,1339719904.0,544289248.0,3903981312.0,3606092288.0,297889024.0,5804276736.0,5941806080.0,-137529344.0,4474971392.0,5179620352.0,-704648960.0,2231425,1.86,25.42,1.9,3.19
2022-03-24,1382.2,1393.39,1339.5,1355.25,4826410,20006226944.0,2489350,BK0727,医疗服务,1363.87,22,17,0,915310208000.0,7518646768.0,6301404224.0,1217242544.0,2786295024.0,1737624640.0,1048670384.0,4732351744.0,4563779584.0,168572160.0,6974143488.0,7044143104.0,-69999616.0,5246331648.0,6393574400.0,-1147242752.0,2337060,1.98,18.33,1.34,3.95
2022-03-25,1347.48,1380.74,1347.43,1377.95,4124612,15133293312.0,1815202,BK0727,医疗服务,1382.2,1,38,0,877830448000.0,4285553248.0,4915125936.0,-629572688.0,951404400.0,1415265360.0,-463860960.0,3334148848.0,3499860576.0,-165711728.0,5570723584.0,5436456192.0,134267392.0,5029611776.0,4534306304.0,495305472.0,2309410,1.7,-34.72,-2.51,2.41
