,最新,最高,最低,今开,总手,金额,外盘,量比,涨停,跌停,代码,名称,昨收,均价,总值,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,动态市盈率,静态市盈率,滚动市盈率,市净,换手,涨跌,涨幅,净资产收益率,总营收
2022-03-12,30.2,30.65,28.88,29.01,295689,875399376.0,165474,0.87,32.79,26.83,000977,浪潮信息,29.81,29.61,43902383562.0,43865629678.799995,395422404.0,306568464.0,88853940.0,164494734.0,88439145.0,76055589.0,230927670.0,218129319.0,12798351.0,248821424.0,304132752.0,-55311328.0,216344284.0,249886894.0,-33542610.0,24.38,29.94,20.06,3.22,2.04,0.39,1.31,8.96,46247086543.39
2022-03-14,29.01,30.09,29.01,29.9,177430,524995600.0,73281,0.51,33.22,27.18,000977,浪潮信息,30.2,29.59,42172455203.1,42137149568.94,138549164.0,191860089.0,-53310925.0,40249616.0,67612963.0,-27363347.0,98299548.0,124247126.0,-25947578.0,174716693.0,182941389.0,-8224696.0,195053296.0,133517674.0,61535622.0,23.42,28.76,19.27,3.09,1.22,-1.19,-3.94,8.96,46247086543.39
2022-03-15,27.5,29.15,27.5,28.93,312679,885730752.0,145193,1.04,31.91,26.11,000977,浪潮信息,29.01,28.33,39977336025.0,39943868085.0,230544101.0,403482854.0,-172938753.0,68863948.0,189718642.0,-120854694.0,161680153.0,213764212.0,-52084059.0,337573440.0,262964353.0,74609087.0,307010128.0,208680450.0,98329678.0,22.2,27.26,18.26,2.93,2.15,-1.51,-5.21,8.96,46247086543.39
2022-03-16,28.35,28.63,26.96,27.99,284656,793674880.0,151562,0.94,30.25,24.75,000977,浪潮信息,27.5,27.88,41212999138.5,41178496734.9,273973741.0,261412860.0,12560881.0,61316715.0,65221533.0,-3904818.0,212657026.0,196191327.0,16465699.0,276371088.0,296863328.0,-20492240.0,233658457.0,225727096.0,7931361.0,22.88,28.1,18.83,3.02,1.96,0.85,3.09,8.96,46247086543.39
2022-03-17,28.82,29.35,28.63,28.97,344706,998599536.0,163693,1.31,31.19,25.52,000977,浪潮信息,28.35,28.97,41896248154.2,41861173753.08,460693850.0,423739968.0,36953882.0,192988574.0,155000160.0,37988414.0,267705276.0,268739808.0,-1034532.0,277666976.0,317671120.0,-40004144.0,245142619.0,242092357.0,3050262.0,23.26,28.57,19.14,3.07,2.37,0.47,1.66,8.96,46247086543.39
2022-03-18,28.94,29.32,28.58,29.06,205480,595714560.0,97094,0.73,31.7,25.94,000977,浪潮信息,28.82,28.99,42070694711.4,42035474268.36,206815169.0,199411973.0,7403196.0,48835811.0,78419580.0,-29583769.0,157979358.0,120992393.0,36986965.0,197084861.0,202293275.0,-5208414.0,171129149.0,173323931.0,-2194782.0,23.36,28.69,19.22,3.08,1.41,0.12,0.42,8.96,46247086543.39
2022-03-21,28.58,29.03,28.05,28.97,268243,765610736.0,97911,1.01,31.83,26.05,000977,浪潮信息,28.94,28.54,41547355039.799995,41512572722.52,202046987.0,339834349.0,-137787362.0,32185696.0,105942877.0,-73757181.0,169861291.0,233891472.0,-64030181.0,260787757.0,251919595.0,8868162.0,283648880.0,154729686.0,128919194.0,23.07,28.33,18.98,3.04,1.85,-0.36,-1.24,8.96,46247086543.39
2022-03-22,28.42,28.75,28.16,28.56,163456,465464528.0,74489,0.58,31.44,25.72,000977,浪潮信息,28.58,28.48,41314759630.200005,41280172035.48,126917453.0,156667088.0,-29749635.0,28223778.0,61080165.0,-32856387.0,98693675.0,95586923.0,3106752.0,161491684.0,173785754.0,-12294070.0,168324166.0,126280460.0,42043706.0,22.94,28.17,18.87,3.03,1.13,-0.16,-0.56,8.96,46247086543.39
2022-03-23,29.05,29.15,28.38,28.56,237783,686098000.0,138584,0.94,31.26,25.58,000977,浪潮信息,28.42,28.85,42230604055.5,42195249740.700005,241580046.0,208475883.0,33104163.0,59992236.0,57628709.0,2363527.0,181587810.0,150847174.0,30740636.0,250218465.0,247020533.0,3197932.0,179947388.0,216249482.0,-36302094.0,23.45,28.8,19.29,3.09,1.64,0.63,2.22,8.96,46247086543.39
2022-03-24,28.37,28.85,28.3,28.85,175705,500099312.0,60454,0.72,31.96,26.15,000977,浪潮信息,29.05,28.46,41242073564.700005,41207546820.78,152334668.0,180770740.0,-28436072.0,36361398.0,47592197.0,-11230799.0,115973270.0,133178543.0,-17205273.0,162136238.0,162837833.0,-701595.0,175965713.0,146828045.0,29137668.0,22.9,28.12,18.84,3.02,1.21,-0.68,-2.34,8.96,46247086543.39
