,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,8433.46,8439.09,8124.41,8259.57,6103916,4502868736.0,3227186,BK0484,贸易行业,8327.98,23,8,3,263126206000.0,1004346458.0,1017632949.0,-13286491.0,199999290.0,201744645.0,-1745355.0,804347168.0,815888304.0,-11541136.0,1533015904.0,1524565056.0,8450848.0,1862675296.0,1857839664.0,4835632.0,2876729,1.88,105.48,1.27,3.78
2022-03-14,8207.48,8426.9,8207.48,8384.22,5101975,3714626112.0,2271440,BK0484,贸易行业,8433.46,2,32,0,256393967000.0,715696331.0,875589226.0,-159892895.0,118341531.0,127111290.0,-8769759.0,597354800.0,748477936.0,-151123136.0,1241582352.0,1202773168.0,38809184.0,1673213904.0,1552130192.0,121083712.0,2830535,1.57,-225.98,-2.68,2.6
2022-03-15,7740.75,8150.78,7735.31,8150.65,6292218,4534719488.0,2524050,BK0484,贸易行业,8207.48,0,34,0,239992779000.0,886408567.0,1276537040.0,-390128473.0,138620615.0,343287568.0,-204666953.0,747787952.0,933249472.0,-185461520.0,1492702944.0,1416024592.0,76678352.0,2070192272.0,1756742144.0,313450128.0,3768169,1.94,-466.73,-5.69,5.06
2022-03-16,7938.56,7958.85,7596.1,7833.4,5779978,4244845232.0,2944118,BK0484,贸易行业,7740.75,30,4,0,245300839000.0,902757808.0,966919641.0,-64161833.0,164223888.0,186445417.0,-22221529.0,738533920.0,780474224.0,-41940304.0,1435635360.0,1454772912.0,-19137552.0,1834957024.0,1751657648.0,83299376.0,2835859,1.78,197.81,2.56,4.69
2022-03-17,8076.72,8174.81,8014.77,8041.42,5273872,4202364160.0,2544905,BK0484,贸易行业,7938.56,28,6,0,251008076000.0,1056877180.0,1016476775.0,40400405.0,240018828.0,220056439.0,19962389.0,816858352.0,796420336.0,20438016.0,1400331840.0,1405704112.0,-5372272.0,1670485184.0,1705513328.0,-35028144.0,2728967,1.63,138.16,1.74,2.02
2022-03-18,8303.82,8321.04,8031.51,8037.85,6520785,4847764736.0,3648531,BK0484,贸易行业,8076.72,31,2,1,260696963000.0,1658544096.0,1376833056.0,281711040.0,675097632.0,450557872.0,224539760.0,983446464.0,926275184.0,57171280.0,1412278432.0,1578010592.0,-165732160.0,1668101792.0,1784080672.0,-115978880.0,2872254,2.01,227.1,2.81,3.58
2022-03-21,8465.78,8491.79,8364.75,8369.24,7046337,5336850432.0,3243212,BK0484,贸易行业,8303.82,22,11,1,262771471000.0,1545716624.0,1536891392.0,8825232.0,514748320.0,517254256.0,-2505936.0,1030968304.0,1019637136.0,11331168.0,1682934256.0,1731287712.0,-48353456.0,1981382960.0,1941854736.0,39528224.0,3803124,2.17,161.96,1.95,1.53
2022-03-22,8499.75,8554.9,8411.24,8493.63,6371502,4754576384.0,3235887,BK0484,贸易行业,8465.78,17,15,2,264677312000.0,1172876000.0,1370317920.0,-197441920.0,295189856.0,364908512.0,-69718656.0,877686144.0,1005409408.0,-127723264.0,1610012752.0,1574945968.0,35066784.0,1858728912.0,1696353760.0,162375152.0,3135615,1.96,33.97,0.4,1.7
2022-03-23,8465.89,8489.02,8413.29,8488.2,5171552,4019848960.0,2404757,BK0484,贸易行业,8499.75,10,22,2,264391703000.0,1065513408.0,1119432865.0,-53919457.0,283355440.0,267398049.0,15957391.0,782157968.0,852034816.0,-69876848.0,1291459168.0,1340001600.0,-48542432.0,1588447808.0,1485985936.0,102461872.0,2766795,1.59,-33.86,-0.4,0.89
2022-03-24,8465.01,8540.23,8428.81,8453.94,6330433,4639914240.0,2891410,BK0484,贸易行业,8465.89,13,21,0,264652939000.0,1179896800.0,1239739808.0,-59843008.0,303153984.0,326166128.0,-23012144.0,876742816.0,913573680.0,-36830864.0,1587956224.0,1563993600.0,23962624.0,1788810160.0,1752929792.0,35880368.0,3439023,1.95,-0.88,-0.01,1.32
