,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,20077.06,20160.54,19518.41,19942.72,35075049,24268078592.0,15656684,BK0425,工程建设,20360.21,16,48,7,1189877472000.0,6605503808.0,8290829104.0,-1685325296.0,1587157056.0,2577338416.0,-990181360.0,5018346752.0,5713490688.0,-695143936.0,8012385792.0,7862565376.0,149820416.0,9029923328.0,7494418432.0,1535504896.0,19418365,1.82,-283.15,-1.39,3.15
2022-03-14,19693.55,20271.02,19693.55,19876.24,27885950,20486707712.0,12371781,BK0425,工程建设,20077.06,13,56,2,1164149600000.0,5579427136.0,6643807024.0,-1064379888.0,1473585696.0,1938566448.0,-464980752.0,4105841440.0,4705240576.0,-599399136.0,6873348864.0,6596060928.0,277287936.0,7474380544.0,6687288576.0,787091968.0,15514170,1.45,-383.51,-1.91,2.88
2022-03-15,19062.28,19948.84,19062.28,19580.25,44034273,27572049408.0,18429064,BK0425,工程建设,19693.55,12,58,1,1092898816000.0,8016244464.0,9339314064.0,-1323069600.0,2483745776.0,2672025488.0,-188279712.0,5532498688.0,6667288576.0,-1134789888.0,9104657152.0,9169527552.0,-64870400.0,9909379328.0,8521439488.0,1387939840.0,25605209,2.28,-631.27,-3.21,4.5
2022-03-16,19477.59,19593.02,18636.95,19211.08,42946471,26893549056.0,21692172,BK0425,工程建设,19062.28,59,11,1,1119279776000.0,7588119296.0,8308218848.0,-720099552.0,2035289088.0,2225810656.0,-190521568.0,5552830208.0,6082408192.0,-529577984.0,8994832896.0,9099429120.0,-104596224.0,9711545600.0,8886850048.0,824695552.0,21254299,2.23,415.31,2.18,5.02
2022-03-17,19748.42,19996.08,19594.2,19594.2,37885630,24300951552.0,17621857,BK0425,工程建设,19477.59,50,18,3,1127540528000.0,6931341136.0,7412269216.0,-480928080.0,1960331600.0,1906645920.0,53685680.0,4971009536.0,5505623296.0,-534613760.0,8151288832.0,8242475264.0,-91186432.0,8657140224.0,8085025536.0,572114688.0,20263773,1.96,270.83,1.39,2.06
2022-03-18,20295.79,20358.44,19572.68,19605.2,39333471,27838084864.0,22744823,BK0425,工程建设,19748.42,63,7,1,1159898592000.0,8760205680.0,8291535856.0,468669824.0,3062226288.0,2267067120.0,795159168.0,5697979392.0,6024468736.0,-326489344.0,8564265472.0,9180324864.0,-616059392.0,9045787136.0,8898397696.0,147389440.0,16588648,2.04,547.37,2.77,3.98
2022-03-21,20720.56,20721.04,20416.85,20424.85,32902076,25502562560.0,15059295,BK0425,工程建设,20295.79,52,19,0,1160798064000.0,7054042976.0,8002561680.0,-948518704.0,1889822048.0,2410840720.0,-521018672.0,5164220928.0,5591720960.0,-427500032.0,8334409216.0,8376158464.0,-41749248.0,9279986688.0,8289718784.0,990267904.0,17842781,1.71,424.77,2.09,1.5
2022-03-22,20617.06,20791.05,20492.51,20760.63,32585951,25232078080.0,15908178,BK0425,工程建设,20720.56,31,39,1,1170647840000.0,6964225184.0,8365986560.0,-1401761376.0,2186710688.0,2572293376.0,-385582688.0,4777514496.0,5793693184.0,-1016178688.0,7991753984.0,8102155264.0,-110401280.0,9399740416.0,7887577600.0,1512162816.0,16677773,1.69,-103.5,-0.5,1.44
2022-03-23,20516.6,20811.11,20364.7,20656.92,36521830,26527848704.0,17754382,BK0425,工程建设,20617.06,23,41,7,1178894576000.0,7861032736.0,8565325232.0,-704292496.0,2446816288.0,2770816176.0,-323999888.0,5414216448.0,5794509056.0,-380292608.0,8515619840.0,8630948864.0,-115329024.0,9511577344.0,8691955968.0,819621376.0,18767449,1.89,-100.46,-0.49,2.17
2022-03-24,20271.92,20512.83,20223.68,20382.3,29095399,21604133888.0,13171674,BK0425,工程建设,20516.6,16,53,2,1167082832000.0,5542052384.0,7033623408.0,-1491571024.0,1345030832.0,2158582896.0,-813552064.0,4197021552.0,4875040512.0,-678018960.0,7145303808.0,7047602688.0,97701120.0,8400169472.0,7006299392.0,1393870080.0,15923724,1.51,-244.68,-1.19,1.41
