,最新,最高,最低,今开,总手,金额,外盘,量比,涨停,跌停,代码,名称,昨收,均价,总值,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,动态市盈率,静态市盈率,滚动市盈率,市净,换手,涨跌,涨幅,净资产收益率,总营收
2022-03-12,76.31,77.98,73.34,74.1,571121,4302578944.0,295943,1.21,90.18,60.12,300014,亿纬锂能,75.15,75.34,144896563178.77002,140390692484.64,2150959568.0,2221512640.0,-70553072.0,827346352.0,936500000.0,-109153648.0,1323613216.0,1285012640.0,38600576.0,1301899504.0,1249011136.0,52888368.0,761289104.0,743624416.0,17664688.0,49.04,87.71,49.59,8.46,3.1,1.16,1.54,14.2,11447744268.27
2022-03-14,71.44,74.0,71.13,73.99,410906,2964007056.0,196148,0.81,91.57,61.05,300014,亿纬锂能,76.31,72.13,135649462370.48,131431150191.36,1173820864.0,1450410640.0,-276589776.0,417003056.0,613876432.0,-196873376.0,756817808.0,836534208.0,-79716400.0,891111488.0,875517904.0,15593584.0,764836352.0,503840160.0,260996192.0,45.91,82.11,46.43,7.92,2.23,-4.87,-6.38,14.2,11447744268.27
2022-03-15,70.92,74.3,69.69,70.2,421577,3052500912.0,231409,0.82,85.73,57.15,300014,亿纬锂能,71.44,72.41,134662092263.64,130474484484.48,1285102592.0,1308782224.0,-23679632.0,478458832.0,529393216.0,-50934384.0,806643760.0,779389008.0,27254752.0,995924128.0,947424912.0,48499216.0,703325840.0,728145440.0,-24819600.0,45.58,81.51,46.09,7.86,2.29,-0.52,-0.73,14.2,11447744268.27
2022-03-16,78.89,80.19,71.46,73.0,807697,6112137216.0,430140,1.61,85.1,56.74,300014,亿纬锂能,70.92,75.67,149795437939.63,145137226184.16,3287295664.0,2510838192.0,776457472.0,1231174128.0,726762000.0,504412128.0,2056121536.0,1784076192.0,272045344.0,1778430736.0,2087559056.0,-309128320.0,950188032.0,1417517184.0,-467329152.0,50.7,90.67,51.27,8.75,4.39,7.97,11.24,14.2,11447744268.27
2022-03-17,81.53,86.12,81.38,82.69,861341,7178983680.0,434063,1.48,94.67,63.11,300014,亿纬锂能,78.89,83.35,154808240020.51,149994144388.32,4007451168.0,3759075472.0,248375696.0,1836823344.0,1589001488.0,247821856.0,2170627824.0,2170073984.0,553840.0,2003981152.0,2157440176.0,-153459024.0,928356144.0,1023272816.0,-94916672.0,52.4,93.71,52.99,9.04,4.68,2.64,3.35,14.2,11447744268.27
2022-03-18,84.7,85.15,79.04,82.31,518290,4240404128.0,266105,0.84,97.84,65.22,300014,亿纬锂能,81.53,81.82,160827400094.9,155826125716.80002,1958531264.0,1753782928.0,204748336.0,767595968.0,573810736.0,193785232.0,1190935296.0,1179972192.0,10963104.0,1302340112.0,1391338384.0,-88998272.0,697903824.0,813653872.0,-115750048.0,54.44,97.35,55.05,9.39,2.82,3.17,3.89,14.2,11447744268.27
2022-03-21,85.4,88.5,85.03,87.0,486924,4229438672.0,227436,0.81,101.64,67.76,300014,亿纬锂能,84.7,86.86,162156552161.80002,157113944937.6,2223943408.0,2043287600.0,180655808.0,849791936.0,849706064.0,85872.0,1374151472.0,1193581536.0,180569936.0,1285391184.0,1352522352.0,-67131168.0,597719312.0,711243952.0,-113524640.0,54.89,98.16,55.5,9.47,2.65,0.7,0.83,14.2,11447744268.27
2022-03-22,83.9,86.52,83.28,84.4,304567,2569887360.0,145195,0.49,102.48,68.32,300014,亿纬锂能,85.4,84.38,159308369161.30002,154354332321.6,1064295600.0,1278923328.0,-214627728.0,341402992.0,519128752.0,-177725760.0,722892608.0,759794576.0,-36901968.0,922411904.0,801438992.0,120972912.0,526083280.0,432428464.0,93654816.0,53.92,96.43,54.53,9.3,1.66,-1.5,-1.76,14.2,11447744268.27
2022-03-23,83.0,85.28,82.34,85.0,276289,2302327584.0,130640,0.46,100.68,67.12,300014,亿纬锂能,83.9,83.33,157599459361.0,152698564752.0,1043888400.0,1101961424.0,-58073024.0,289599216.0,368499168.0,-78899952.0,754289184.0,733462256.0,20826928.0,787762800.0,746626464.0,41136336.0,429021520.0,412084832.0,16936688.0,53.34,95.4,53.94,9.2,1.5,-0.9,-1.07,14.2,11447744268.27
2022-03-24,81.45,82.3,78.86,81.99,390760,3153305344.0,193945,0.8,99.6,66.4,300014,亿纬锂能,83.0,80.7,154656336927.15,149846965048.80002,1328142848.0,1507918304.0,-179775456.0,495710688.0,456267520.0,39443168.0,832432160.0,1051650784.0,-219218624.0,1056979248.0,1029703824.0,27275424.0,722055840.0,569555792.0,152500048.0,52.35,93.62,52.93,9.03,2.12,-1.55,-1.87,14.2,11447744268.27
