,最新,最高,最低,今开,总手,金额,外盘,量比,涨停,跌停,代码,名称,昨收,均价,总值,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,动态市盈率,静态市盈率,滚动市盈率,市净,换手,涨跌,涨幅,净资产收益率,总营收
2022-03-12,98.71,101.0,95.41,99.92,354935,3481006192.0,170790,1.29,112.89,92.37,603259,药明康德,102.63,98.07,291762291962.62,251413123588.83,1327481648.0,1463810688.0,-136329040.0,402414752.0,552751712.0,-150336960.0,925066896.0,911058976.0,14007920.0,1090519728.0,1038810416.0,51709312.0,1015895648.0,931275920.0,84619728.0,57.24,98.56,70.23,7.58,1.39,-3.92,-3.82,14.05,22902385100.0
2022-03-14,96.63,100.5,95.8,97.7,238541,2339668128.0,113164,0.77,108.58,88.84,603259,药明康德,98.71,98.08,285614327548.86,246115389852.99,936883408.0,904304656.0,32578752.0,383428320.0,305915904.0,77512416.0,553455088.0,598388752.0,-44933664.0,679384592.0,723987792.0,-44603200.0,687121584.0,675097120.0,12024464.0,56.03,96.48,68.75,7.42,0.94,-2.08,-2.11,14.05,22902385100.0
2022-03-15,93.17,98.16,91.01,93.0,319892,3011994576.0,173260,1.01,106.29,86.97,603259,药明康德,96.63,94.16,275387425206.74,237302813542.41,1106981856.0,1248552080.0,-141570224.0,301138512.0,411702720.0,-110564208.0,805843344.0,836849360.0,-31006016.0,976839952.0,909062208.0,67777744.0,895524272.0,821731776.0,73792496.0,54.03,93.03,66.29,7.15,1.26,-3.46,-3.58,14.05,22902385100.0
2022-03-16,101.57,102.4,94.11,95.02,403155,3946989360.0,215156,1.2,102.49,83.85,603259,药明康德,93.17,97.9,300215743031.54,258697507475.61,1801151392.0,1348446352.0,452705040.0,824542480.0,387117472.0,437425008.0,976608912.0,961328880.0,15280032.0,1252721456.0,1349073952.0,-96352496.0,849322224.0,1205674768.0,-356352544.0,58.9,101.42,72.27,7.8,1.58,8.4,9.02,14.05,22902385100.0
2022-03-17,106.91,109.2,104.0,105.99,450399,4822045440.0,232526,1.34,111.73,91.41,603259,药明康德,101.57,107.06,315999459363.02,272298420047.43,2365482464.0,1977462096.0,388020368.0,995519808.0,786127680.0,209392128.0,1369962656.0,1191334416.0,178628240.0,1490655744.0,1629793472.0,-139137728.0,884974256.0,1133856896.0,-248882640.0,62.0,106.75,76.07,8.21,1.77,5.34,5.26,14.05,22902385100.0
2022-03-18,103.62,106.38,103.31,106.38,292348,3048046944.0,142531,0.83,117.6,96.22,603259,药明康德,106.91,104.26,306275034881.64,263918831590.26,682200993.0,769540526.0,-87339533.0,216757953.0,213076126.0,3681827.0,465443040.0,556464400.0,-91021360.0,920930720.0,810668304.0,110262416.0,626253808.0,649176720.0,-22922912.0,60.09,103.46,73.73,7.96,1.15,-3.29,-3.08,14.05,22902385100.0
2022-03-21,105.7,107.2,103.13,106.33,205521,2167560192.0,101650,0.6,113.98,93.26,603259,药明康德,103.62,105.47,312422999295.4,269216565326.1,926138288.0,719788147.0,206350141.0,417953856.0,237348435.0,180605421.0,508184432.0,482439712.0,25744720.0,691037136.0,785319456.0,-94282320.0,498675664.0,610743488.0,-112067824.0,61.29,105.54,75.21,8.12,0.81,2.08,2.01,14.05,22902385100.0
2022-03-22,102.92,105.69,102.09,104.9,176827,1827858096.0,74746,0.53,116.27,95.13,603259,药明康德,105.7,103.37,304206008396.24,262135940429.16,599277595.0,743244576.0,-143966981.0,175131691.0,359531840.0,-184400149.0,424145904.0,383712736.0,40433168.0,632707328.0,623968176.0,8739152.0,570780560.0,435552720.0,135227840.0,59.68,102.76,73.23,7.9,0.69,-2.78,-2.63,14.05,22902385100.0
2022-03-23,110.38,111.14,103.39,104.2,305735,3311588016.0,174971,1.0,113.21,92.63,603259,药明康德,102.92,108.32,326255919226.36,281155881080.32,1441212336.0,1078419285.0,362793051.0,573658272.0,267957989.0,305700283.0,867554064.0,810461296.0,57092768.0,1070896960.0,1224503936.0,-153606976.0,752856672.0,962042736.0,-209186064.0,64.01,110.21,78.54,8.47,1.2,7.46,7.25,14.05,22902385100.0
2022-03-24,117.0,119.97,106.13,108.83,493755,5623245056.0,280390,1.73,121.42,99.34,603259,药明康德,110.38,113.89,345822998274.0,298018101888.0,2771256464.0,2388329904.0,382926560.0,1352748512.0,775389472.0,577359040.0,1418507952.0,1612940432.0,-194432480.0,1727731216.0,1806797744.0,-79066528.0,1053027408.0,1356887440.0,-303860032.0,67.85,67.85,67.85,8.98,1.94,6.62,6.0,14.05,22902385129.11
2022-03-25,109.86,118.0,109.35,116.0,375970,4238571632.0,157527,1.28,128.7,105.3,603259,药明康德,117.0,112.74,324718928122.92,279831356183.04,1521002000.0,1747460304.0,-226458304.0,399908368.0,622689472.0,-222781104.0,1121093632.0,1124770832.0,-3677200.0,1496435408.0,1422400800.0,74034608.0,1168138400.0,1015714704.0,152423696.0,63.71,63.71,63.71,8.44,1.48,-7.14,-6.1,14.05,22902385129.11
2022-03-28,111.37,112.93,108.85,109.46,254108,2821575840.0,120989,0.82,120.85,98.87,603259,药明康德,109.86,111.04,329182113827.14,283677572711.68,1229958208.0,1164738720.0,65219488.0,437131456.0,367901840.0,69229616.0,792826752.0,796836880.0,-4010128.0,896869216.0,886196800.0,10672416.0,645253232.0,721145152.0,-75891920.0,64.58,64.58,64.58,8.55,1.0,1.51,1.37,14.05,22902385129.11
2022-03-29,111.77,113.48,110.0,111.35,162225,1818814960.0,81315,0.5,122.51,100.23,603259,药明康德,111.37,112.12,330364414675.94,284696438017.27997,646044309.0,602130746.0,43913563.0,151508821.0,166490698.0,-14981877.0,494535488.0,435640048.0,58895440.0,650847136.0,616730688.0,34116448.0,498671760.0,576701776.0,-78030016.0,64.81,64.81,64.81,8.58,0.64,0.4,0.36,14.05,22902385129.11
2022-03-30,113.45,114.33,110.59,112.0,192153,2163712960.0,99392,0.6,122.95,100.59,603259,药明康德,111.77,112.6,335330078240.9,288975672300.8,838109856.0,808864016.0,29245840.0,274325280.0,337857984.0,-63532704.0,563784576.0,471006032.0,92778544.0,756595632.0,712215264.0,44380368.0,532889104.0,606515312.0,-73626208.0,65.79,65.79,65.79,8.71,0.75,1.68,1.5,14.05,22902385129.11
2022-03-31,112.38,113.8,109.8,113.44,190353,2124448016.0,89861,0.64,124.8,102.11,603259,药明康德,113.45,111.61,332167423470.36,286250207608.32,683013376.0,717877295.0,-34863919.0,162941072.0,256393215.0,-93452143.0,520072304.0,461484080.0,58588224.0,800070576.0,758603184.0,41467392.0,597133008.0,603736480.0,-6603472.0,65.17,65.17,65.17,8.63,0.75,-1.07,-0.94,14.05,22902385129.11
