,最新,最高,最低,开盘,总量,总额,外盘,代码,名称,昨收,涨家数,跌家数,平家数,流值,主力流入,主力流出,主力净流入,超大单流入,超大单流出,超大单净流入,大单流入,大单流出,大单净流入,中单流入,中单流出,中单净流入,小单流入,小单流出,小单净流入,内盘,换手,涨跌,涨幅,振幅
2022-03-12,996.49,997.18,965.08,982.68,8449996,16326868480.0,4114682,BK1037,消费电子,992.99,57,25,4,1200082144000.0,4652826480.0,5956873504.0,-1304047024.0,1286288704.0,1920417200.0,-634128496.0,3366537776.0,4036456304.0,-669918528.0,5294656512.0,5362330880.0,-67674368.0,6160281856.0,4788560640.0,1371721216.0,4335314,1.19,3.5,0.35,3.23
2022-03-14,965.72,988.72,965.72,988.51,6678835,11985843456.0,2875041,BK1037,消费电子,996.49,5,80,1,1160095328000.0,2621106944.0,3755029984.0,-1133923040.0,484045376.0,1099058704.0,-615013328.0,2137061568.0,2655971280.0,-518909712.0,4042637616.0,3803508592.0,239129024.0,5069287424.0,4174493296.0,894794128.0,3803794,0.94,-30.77,-3.09,2.31
2022-03-15,918.42,964.93,918.28,961.33,9528776,15810455296.0,4328742,BK1037,消费电子,965.72,4,81,1,1110577216000.0,4073715520.0,5125872592.0,-1052157072.0,1054010704.0,1294199376.0,-240188672.0,3019704816.0,3831673216.0,-811968400.0,5398332928.0,5134287104.0,264045824.0,6074369536.0,5286258688.0,788110848.0,5200035,1.34,-47.3,-4.9,4.83
2022-03-16,947.74,949.39,901.33,932.48,10704233,18633095680.0,5602729,BK1037,消费电子,918.42,82,3,1,1143401632000.0,5985236512.0,5796285584.0,188950928.0,1880638144.0,1444157328.0,436480816.0,4104598368.0,4352128256.0,-247529888.0,6066340096.0,6225260288.0,-158920192.0,6316615168.0,6346645760.0,-30030592.0,5101504,1.51,29.32,3.19,5.23
2022-03-17,967.56,981.26,957.78,957.78,10302363,18725484800.0,5055975,BK1037,消费电子,947.74,74,10,2,1166996768000.0,6434818704.0,5787119360.0,647699344.0,1993457808.0,1936350528.0,57107280.0,4441360896.0,3850768832.0,590592064.0,6014115584.0,6355313920.0,-341198336.0,5846725888.0,6153227008.0,-306501120.0,5246389,1.45,19.82,2.09,2.48
2022-03-18,972.47,974.38,960.39,963.96,7567753,12256100096.0,4041987,BK1037,消费电子,967.56,65,19,2,1170645680000.0,3279912912.0,3470144704.0,-190231792.0,850959328.0,1004735504.0,-153776176.0,2428953584.0,2465409200.0,-36455616.0,3833409520.0,3809094640.0,24314880.0,4405532672.0,4239615840.0,165916832.0,3525765,1.06,4.91,0.51,1.45
2022-03-21,977.47,980.62,965.62,972.99,7153472,12923140608.0,3376348,BK1037,消费电子,972.47,59,26,2,1172778624000.0,3559554480.0,3673421664.0,-113867184.0,878161328.0,1029404496.0,-151243168.0,2681393152.0,2644017168.0,37375984.0,4312797184.0,4204370720.0,108426464.0,4760025856.0,4754584832.0,5441024.0,3777124,1.01,5.0,0.51,1.54
2022-03-22,974.57,981.87,966.86,976.88,6991532,11928146176.0,3376135,BK1037,消费电子,977.47,33,50,4,1167521936000.0,3086617232.0,3430365232.0,-343748000.0,708043296.0,845447856.0,-137404560.0,2378573936.0,2584917376.0,-206343440.0,4037547136.0,4036183728.0,1363408.0,4618599680.0,4276214960.0,342384720.0,3615398,0.98,-2.9,-0.3,1.54
2022-03-23,982.04,985.52,971.67,976.23,7549781,11416976896.0,3743189,BK1037,消费电子,974.57,62,22,3,1179569120000.0,3017992544.0,3192277696.0,-174285152.0,761708208.0,864712960.0,-103004752.0,2256284336.0,2327564736.0,-71280400.0,3910175168.0,3809632192.0,100542976.0,4296376064.0,4222633936.0,73742128.0,3806592,1.06,7.47,0.77,1.42
2022-03-24,960.48,977.46,960.13,977.46,6861940,12376799488.0,2817238,BK1037,消费电子,982.04,4,81,2,1153146400000.0,2971623904.0,3957527776.0,-985903872.0,698269456.0,1142922080.0,-444652624.0,2273354448.0,2814605696.0,-541251248.0,4186686896.0,3981585216.0,205101680.0,5044476672.0,4263674464.0,780802208.0,4044702,0.97,-21.56,-2.2,1.76
2022-03-25,953.44,967.81,952.88,961.88,6222500,11306849792.0,2911914,BK1037,消费电子,960.48,27,58,2,1138167024000.0,2852530576.0,3597523312.0,-744992736.0,655787648.0,871304224.0,-215516576.0,2196742928.0,2726219088.0,-529476160.0,3775892272.0,3700893952.0,74998320.0,4466800128.0,3796805808.0,669994320.0,3310586,0.87,-7.04,-0.73,1.55
2022-03-28,946.05,954.51,933.4,948.5,6032443,10954900480.0,2812324,BK1037,消费电子,953.44,23,63,1,1124463888000.0,2525695520.0,3039231888.0,-513536368.0,587757424.0,672410544.0,-84653120.0,1937938096.0,2366821344.0,-428883248.0,3755092000.0,3859904880.0,-104812880.0,4498184192.0,3879835024.0,618349168.0,3220119,0.85,-7.39,-0.78,2.21
2022-03-29,922.25,948.26,919.77,948.26,7962221,17095442176.0,3382809,BK1037,消费电子,946.05,5,80,2,1082761488000.0,4577088176.0,6430507056.0,-1853418880.0,1122336688.0,2036612912.0,-914276224.0,3454751488.0,4393894144.0,-939142656.0,5692093952.0,5829246720.0,-137152768.0,6647170304.0,4656598528.0,1990571776.0,4579412,1.12,-23.8,-2.52,3.01
2022-03-30,940.38,940.38,925.25,927.17,6689756,13633112576.0,3686661,BK1037,消费电子,922.25,79,5,3,1114228176000.0,4273783776.0,4125345888.0,148437888.0,1195096736.0,1036657200.0,158439536.0,3078687040.0,3088688688.0,-10001648.0,4527794944.0,4489983744.0,37811200.0,4561853952.0,4748102912.0,-186248960.0,3003095,0.94,18.13,1.97,1.64
2022-03-31,933.61,941.47,932.61,937.59,5690713,10883706624.0,2471600,BK1037,消费电子,940.38,27,55,5,1092526144000.0,2395240288.0,3174461824.0,-779221536.0,443812304.0,817322304.0,-373510000.0,1951427984.0,2357139520.0,-405711536.0,3782863888.0,3709224752.0,73639136.0,4468894720.0,3763312320.0,705582400.0,3219113,0.8,-6.77,-0.72,0.94
2022-04-01,928.38,931.45,922.65,929.11,5847340,10315994624.0,2822390,BK1037,消费电子,933.61,26,58,3,1091547744000.0,2403207184.0,2532191232.0,-128984048.0,451979712.0,556304976.0,-104325264.0,1951227472.0,1975886256.0,-24658784.0,3723580160.0,3569520640.0,154059520.0,4008896208.0,4033971680.0,-25075472.0,3024951,0.82,-5.23,-0.56,0.94
2022-04-06,929.33,936.51,923.11,926.56,6608656,11717768704.0,3049329,BK1037,消费电子,928.38,46,36,5,1077138352000.0,2721540512.0,3176325408.0,-454784896.0,541386272.0,818992096.0,-277605824.0,2180154240.0,2357333312.0,-177179072.0,3871059008.0,3831824928.0,39234080.0,4923724032.0,4508173312.0,415550720.0,3559328,0.93,0.95,0.1,1.44
2022-04-07,911.37,928.39,911.15,928.17,6753461,11077640448.0,2892107,BK1037,消费电子,929.33,14,71,2,1062622672000.0,2934944368.0,3021758960.0,-86814592.0,722721296.0,682698272.0,40023024.0,2212223072.0,2339060688.0,-126837616.0,3657519376.0,3658968304.0,-1448928.0,4296864512.0,4208600992.0,88263520.0,3861355,0.95,-17.96,-1.93,1.86
2022-04-08,896.32,914.07,889.66,912.96,7221951,10580606208.0,3267233,BK1037,消费电子,911.37,12,73,2,1051193584000.0,2246750064.0,3047926784.0,-801176720.0,406354080.0,680425584.0,-274071504.0,1840395984.0,2367501200.0,-527105216.0,3683134208.0,3543814992.0,139319216.0,4480721152.0,3818863616.0,661857536.0,3954717,1.01,-15.05,-1.65,2.68
